Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.196,3.204,-0.008,2.258,2.298,0.338,0.989
SST global,degC,20.35,20.071,0.28,8.392,8.382,0.285,1.0
SOLIN global,W/m2,340.305,340.305,0.0,72.81,72.81,0.0,1.0
ALBEDO global,dimensionless,0.308,0.307,0.0,0.124,0.124,0.008,0.998
ALBEDOC global,dimensionless,0.167,0.168,-0.001,0.116,0.118,0.005,0.999
RESTOM global,W/m2,3.954,3.245,0.709,54.821,54.956,2.014,0.999
FLUT global,W/m2,239.878,240.767,-0.889,31.544,31.591,2.381,0.998
FLUTC global,W/m2,263.01,263.932,-0.922,29.871,29.662,1.404,0.999
FSNTOA global,W/m2,243.69,243.871,-0.181,82.253,82.362,2.656,0.999
FSNTOAC global,W/m2,289.406,289.202,0.205,82.562,82.775,1.094,1.0
SWCF global,W/m2,-45.716,-45.33,-0.385,19.935,20.109,2.642,0.992
LWCF global,W/m2,23.132,23.165,-0.033,10.7,10.577,1.624,0.988
NETCF global,W/m2,-22.584,-22.165,-0.418,14.021,13.879,2.032,0.99
ALBEDO_SRF global,dimensionless,0.143,0.144,-0.001,0.17,0.173,0.009,0.999
SWCFSRF global,W/m2,-48.791,-48.375,-0.416,21.74,21.892,2.786,0.992
LWCFSRF global,W/m2,25.728,26.399,-0.671,17.718,18.377,1.363,0.999
NETCF_SRF global,W/m2,-23.063,-21.976,-1.087,18.88,19.361,2.599,0.993
FLDS global,W/m2,347.714,346.661,1.054,63.249,63.124,2.067,1.0
FLDSC global,W/m2,322.699,319.214,3.485,76.234,76.23,4.228,1.0
FLNS global,W/m2,51.597,52.596,-0.999,17.917,18.558,1.997,0.996
FLNSC global,W/m2,77.325,78.995,-1.67,13.93,14.391,2.132,0.996
FSDS global,W/m2,185.826,186.218,-0.392,59.868,59.806,3.232,0.999
FSDSC global,W/m2,240.653,240.594,0.059,50.127,50.012,0.961,1.0
FSNS global,W/m2,163.354,163.528,-0.174,65.073,65.217,2.918,0.999
FSNSC global,W/m2,212.145,211.904,0.242,64.921,65.163,1.285,1.0
LHFLX global,W/m2,92.512,92.743,-0.231,54.662,55.058,4.538,0.997
SHFLX global,W/m2,14.449,14.108,0.341,16.881,16.732,1.956,0.993
NET_FLUX_SRF global,W/m2,4.797,4.082,0.716,31.967,31.743,5.546,0.985
TMQ global,kg/m2,24.783,24.708,0.075,13.455,13.496,0.497,0.999
U-850mb global,m/s,1.002,1.007,-0.005,6.652,6.667,0.524,0.997
OMEGA-850mb global,mbar/day,-0.206,-0.201,-0.006,28.613,29.041,4.486,0.988
OMEGA-500mb global,mbar/day,-0.324,-0.32,-0.004,22.076,22.461,4.898,0.976
OMEGA-200mb global,mbar/day,0.179,0.178,0.002,11.245,11.393,2.543,0.975
U-200mb global,m/s,15.546,15.569,-0.023,11.985,11.963,1.139,0.995
Z3-500mb global,hectometer,56.584,56.577,0.007,2.736,2.753,0.08,1.0
T-850mb global,K,281.173,281.162,0.011,9.833,9.89,0.298,1.0
T-200mb global,K,217.756,217.886,-0.13,3.001,2.805,0.494,0.989
PSL global,mbar,1011.23,1011.232,-0.003,10.381,10.41,0.612,0.998
CLDTOT_TAU1.3_ISCCP global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_9.4_ISCCP global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU9.4_ISCCP global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_TAU1.3_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_TAU1.3_9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_TAU9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_TAU1.3_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_TAU1.3_9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_TAU9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_CAL global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_CAL global,%,nan,nan,nan,nan,nan,nan,nan
CLDMED_CAL global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_CAL global,%,nan,nan,nan,nan,nan,nan,nan
TGCLDLWP_OCN global,g/m^2,52.717,52.54,0.177,24.374,24.459,2.902,0.993
AODVIS global,dimensionless,0.185,0.188,-0.003,0.143,0.148,0.014,0.996
TREFHT global,DegC,14.791,14.783,0.009,13.816,13.92,0.296,1.0
TREFHT land,DegC,9.349,9.283,0.065,18.33,18.424,0.466,1.0
TAUXY ocean,N/m^2,0.077,0.077,0.0,0.057,0.056,0.009,0.987
