Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.253,3.269,-0.016,3.109,3.138,0.689,0.976
SST global,degC,20.223,19.954,0.268,8.517,8.514,0.28,1.0
SOLIN global,W/m2,330.372,330.372,0.0,139.778,139.778,0.0,1.0
ALBEDO global,dimensionless,0.318,0.317,0.0,0.132,0.132,0.014,0.995
ALBEDOC global,dimensionless,0.175,0.175,-0.001,0.12,0.12,0.006,0.999
RESTOM global,W/m2,-5.11,-5.957,0.847,89.147,89.177,3.969,0.999
FLUT global,W/m2,242.538,243.396,-0.858,35.661,35.782,4.133,0.994
FLUTC global,W/m2,266.13,266.904,-0.774,31.343,31.269,1.782,0.999
FSNTOA global,W/m2,237.292,237.304,-0.012,111.311,111.481,5.307,0.999
FSNTOAC global,W/m2,283.154,282.763,0.391,124.664,124.618,2.284,1.0
SWCF global,W/m2,-45.862,-45.459,-0.403,32.233,32.223,5.329,0.986
LWCF global,W/m2,23.592,23.508,0.084,14.716,14.513,3.028,0.979
NETCF global,W/m2,-22.27,-21.951,-0.319,28.932,28.708,4.195,0.989
ALBEDO_SRF global,dimensionless,0.141,0.143,-0.002,0.178,0.18,0.011,0.998
SWCFSRF global,W/m2,-48.442,-48.019,-0.423,35.301,35.257,5.638,0.987
LWCFSRF global,W/m2,24.643,25.344,-0.7,18.28,19.06,2.173,0.995
NETCF_SRF global,W/m2,-23.799,-22.676,-1.124,36.342,36.591,4.816,0.992
FLDS global,W/m2,356.425,355.217,1.208,64.018,63.857,3.285,0.999
FLDSC global,W/m2,333.087,329.457,3.63,75.239,75.227,4.918,0.999
FLNS global,W/m2,51.132,52.133,-1.0,21.891,22.57,3.324,0.99
FLNSC global,W/m2,75.776,77.476,-1.701,18.509,18.934,2.955,0.992
FSDS global,W/m2,174.754,175.305,-0.551,86.68,87.027,6.679,0.997
FSDSC global,W/m2,228.955,229.104,-0.149,99.388,99.582,1.967,1.0
FSNS global,W/m2,156.049,156.222,-0.173,79.556,79.912,5.939,0.997
FSNSC global,W/m2,204.492,204.241,0.25,92.393,92.493,2.734,1.0
LHFLX global,W/m2,94.464,94.995,-0.531,61.778,61.98,8.501,0.991
SHFLX global,W/m2,15.753,15.29,0.463,21.105,20.989,3.737,0.984
NET_FLUX_SRF global,W/m2,-5.301,-6.196,0.895,82.24,81.993,10.072,0.993
TMQ global,kg/m2,26.624,26.499,0.125,14.35,14.301,1.009,0.998
U-850mb global,m/s,1.122,1.199,-0.077,7.189,7.363,1.043,0.99
OMEGA-850mb global,mbar/day,-0.204,-0.195,-0.009,36.103,36.813,8.571,0.973
OMEGA-500mb global,mbar/day,-0.332,-0.322,-0.01,29.569,29.813,9.007,0.954
OMEGA-200mb global,mbar/day,0.179,0.179,0.0,15.778,15.932,4.942,0.951
U-200mb global,m/s,13.008,12.998,0.01,16.546,16.504,1.966,0.993
Z3-500mb global,hectometer,56.906,56.887,0.019,2.833,2.894,0.148,0.999
T-850mb global,K,282.903,282.831,0.072,9.965,10.025,0.532,0.999
T-200mb global,K,217.716,217.653,0.063,5.01,4.789,0.657,0.992
PSL global,mbar,1011.108,1011.097,0.011,10.943,11.507,1.351,0.994
CLDTOT_TAU1.3_ISCCP global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_9.4_ISCCP global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU9.4_ISCCP global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_TAU1.3_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_TAU1.3_9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_TAU9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_TAU1.3_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_TAU1.3_9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_TAU9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_CAL global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_CAL global,%,nan,nan,nan,nan,nan,nan,nan
CLDMED_CAL global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_CAL global,%,nan,nan,nan,nan,nan,nan,nan
TGCLDLWP_OCN global,g/m^2,53.577,53.496,0.081,27.002,27.624,5.75,0.978
AODVIS global,dimensionless,0.219,0.22,-0.001,0.205,0.202,0.025,0.993
TREFHT global,DegC,16.415,16.376,0.039,14.259,14.369,0.477,0.999
TREFHT land,DegC,14.373,14.195,0.178,20.262,20.415,0.784,0.999
TAUXY ocean,N/m^2,0.086,0.089,-0.003,0.066,0.068,0.017,0.971
