Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.189,3.2,-0.012,2.364,2.404,0.704,0.957
SST global,degC,20.141,19.86,0.281,9.006,8.992,0.288,1.0
SOLIN global,W/m2,338.245,338.245,0.0,100.607,100.607,0.0,1.0
ALBEDO global,dimensionless,0.314,0.314,0.0,0.141,0.141,0.016,0.994
ALBEDOC global,dimensionless,0.177,0.178,-0.001,0.136,0.138,0.007,0.999
RESTOM global,W/m2,4.631,3.501,1.13,71.793,71.692,3.833,0.999
FLUT global,W/m2,238.393,239.549,-1.155,33.646,33.704,4.858,0.99
FLUTC global,W/m2,262.149,263.193,-1.044,31.609,31.509,2.138,0.998
FSNTOA global,W/m2,242.883,242.908,-0.025,97.935,97.996,5.505,0.998
FSNTOAC global,W/m2,286.301,286.031,0.27,101.246,101.421,1.977,1.0
SWCF global,W/m2,-43.419,-43.124,-0.295,23.476,23.32,5.398,0.973
LWCF global,W/m2,23.755,23.644,0.111,12.003,11.72,3.524,0.956
NETCF global,W/m2,-19.663,-19.479,-0.184,17.714,17.489,3.715,0.978
ALBEDO_SRF global,dimensionless,0.153,0.153,-0.001,0.198,0.2,0.01,0.999
SWCFSRF global,W/m2,-46.232,-45.92,-0.312,25.672,25.41,5.692,0.975
LWCFSRF global,W/m2,25.454,26.127,-0.672,18.491,19.072,2.308,0.994
NETCF_SRF global,W/m2,-20.777,-19.793,-0.984,24.934,25.133,4.614,0.984
FLDS global,W/m2,346.444,345.446,0.999,66.684,66.74,3.691,0.999
FLDSC global,W/m2,322.238,318.747,3.491,79.697,79.856,5.065,0.999
FLNS global,W/m2,52.056,52.96,-0.904,18.797,19.418,3.31,0.987
FLNSC global,W/m2,77.511,79.087,-1.576,15.4,15.982,2.768,0.99
FSDS global,W/m2,186.436,186.685,-0.249,74.531,74.44,6.694,0.996
FSDSC global,W/m2,239.372,239.253,0.119,72.397,72.285,1.989,1.0
FSNS global,W/m2,163.026,163.015,0.012,75.777,75.782,6.102,0.997
FSNSC global,W/m2,209.258,208.935,0.323,78.895,79.027,2.45,1.0
LHFLX global,W/m2,92.885,93.102,-0.217,55.928,56.744,9.173,0.987
SHFLX global,W/m2,14.694,14.342,0.352,18.163,17.825,3.62,0.98
NET_FLUX_SRF global,W/m2,3.39,2.61,0.78,48.69,48.247,11.713,0.971
TMQ global,kg/m2,24.424,24.4,0.023,14.201,14.336,1.025,0.997
U-850mb global,m/s,1.049,1.064,-0.015,6.775,6.798,1.017,0.989
OMEGA-850mb global,mbar/day,-0.248,-0.254,0.006,30.203,30.56,8.293,0.963
OMEGA-500mb global,mbar/day,-0.32,-0.317,-0.004,24.443,24.871,10.239,0.914
OMEGA-200mb global,mbar/day,0.175,0.176,-0.001,12.851,13.006,5.423,0.912
U-200mb global,m/s,16.689,17.057,-0.368,11.919,11.793,2.28,0.982
Z3-500mb global,hectometer,56.512,56.513,-0.001,2.798,2.836,0.185,0.998
T-850mb global,K,280.935,280.923,0.012,10.511,10.606,0.642,0.998
T-200mb global,K,217.987,218.147,-0.159,3.287,3.327,0.639,0.983
PSL global,mbar,1011.245,1011.252,-0.007,10.444,10.517,1.352,0.992
CLDTOT_TAU1.3_ISCCP global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_9.4_ISCCP global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU9.4_ISCCP global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_TAU1.3_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_TAU1.3_9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_TAU9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_TAU1.3_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_TAU1.3_9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_TAU9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_CAL global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_CAL global,%,nan,nan,nan,nan,nan,nan,nan
CLDMED_CAL global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_CAL global,%,nan,nan,nan,nan,nan,nan,nan
TGCLDLWP_OCN global,g/m^2,51.734,51.712,0.021,26.348,26.348,6.103,0.973
AODVIS global,dimensionless,0.18,0.184,-0.005,0.159,0.17,0.03,0.986
TREFHT global,DegC,14.576,14.561,0.015,14.773,14.895,0.61,0.999
TREFHT land,DegC,8.45,8.353,0.097,19.926,20.019,0.979,0.999
TAUXY ocean,N/m^2,0.077,0.077,-0.0,0.064,0.062,0.015,0.972
