Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.181,3.213,-0.032,2.827,2.899,0.844,0.957
SST global,degC,19.731,19.731,0.0,8.717,8.717,0.007,1.0
SOLIN global,W/m2,350.432,350.546,-0.114,146.325,146.373,0.123,1.0
ALBEDO global,dimensionless,0.326,0.329,-0.004,0.144,0.144,0.017,0.994
ALBEDOC global,dimensionless,0.188,0.189,-0.001,0.145,0.146,0.009,0.998
RESTOM global,W/m2,10.674,9.073,1.601,98.835,98.159,4.621,0.999
FLUT global,W/m2,239.016,239.368,-0.352,34.702,34.331,5.149,0.989
FLUTC global,W/m2,261.555,261.963,-0.407,32.534,32.388,2.172,0.998
FSNTOA global,W/m2,249.545,248.307,1.237,121.779,121.17,6.172,0.999
FSNTOAC global,W/m2,297.398,296.994,0.403,139.283,139.028,2.171,1.0
SWCF global,W/m2,-47.853,-48.687,0.834,36.434,36.781,5.979,0.987
LWCF global,W/m2,22.54,22.595,-0.055,13.691,13.312,3.795,0.961
NETCF global,W/m2,-25.313,-26.092,0.779,32.085,32.331,3.874,0.993
ALBEDO_SRF global,dimensionless,0.167,0.166,0.0,0.211,0.21,0.012,0.998
SWCFSRF global,W/m2,-51.477,-52.53,1.053,40.834,41.158,6.208,0.989
LWCFSRF global,W/m2,27.427,27.893,-0.466,19.527,19.551,2.343,0.993
NETCF_SRF global,W/m2,-24.05,-24.637,0.587,37.378,37.787,5.215,0.991
FLDS global,W/m2,339.599,339.043,0.556,70.283,69.631,4.375,0.998
FLDSC global,W/m2,311.753,310.687,1.066,82.951,82.277,3.48,0.999
FLNS global,W/m2,51.898,52.422,-0.524,20.598,21.047,3.194,0.989
FLNSC global,W/m2,79.325,80.315,-0.99,15.97,15.735,2.647,0.988
FSDS global,W/m2,193.512,194.699,-1.187,95.223,95.297,7.586,0.997
FSDSC global,W/m2,250.708,253.173,-2.465,110.646,110.58,3.626,1.0
FSNS global,W/m2,168.833,169.812,-0.979,91.529,91.496,6.857,0.997
FSNSC global,W/m2,220.31,222.342,-2.032,110.243,110.369,3.242,1.0
LHFLX global,W/m2,92.066,93.019,-0.952,66.289,68.477,11.19,0.987
SHFLX global,W/m2,13.297,14.082,-0.785,22.793,23.842,5.159,0.977
NET_FLUX_SRF global,W/m2,11.571,10.289,1.282,93.4,95.459,15.356,0.987
TMQ global,kg/m2,23.471,23.512,-0.041,14.474,14.594,1.113,0.997
U-850mb global,m/s,0.837,0.891,-0.054,7.056,7.127,1.208,0.986
OMEGA-850mb global,mbar/day,-0.12,-0.127,0.007,34.04,34.353,9.579,0.961
OMEGA-500mb global,mbar/day,-0.31,-0.307,-0.002,29.887,29.693,11.468,0.926
OMEGA-200mb global,mbar/day,0.161,0.165,-0.004,15.426,15.21,5.929,0.925
U-200mb global,m/s,16.258,16.311,-0.053,14.002,14.565,2.727,0.983
Z3-500mb global,hectometer,56.342,56.327,0.015,2.788,2.76,0.215,0.997
T-850mb global,K,279.756,279.602,0.154,11.478,11.36,0.77,0.998
T-200mb global,K,218.624,218.451,0.173,2.99,3.066,1.016,0.946
PSL global,mbar,1011.39,1011.423,-0.033,10.072,10.38,1.857,0.984
CLDTOT_TAU1.3_ISCCP global,%,nan,48.167,nan,nan,23.568,nan,nan
CLDTOT_TAU1.3_9.4_ISCCP global,%,nan,22.806,nan,nan,9.981,nan,nan
CLDTOT_TAU9.4_ISCCP global,%,nan,25.362,nan,nan,17.47,nan,nan
CLDTOT_TAU1.3_MISR global,%,nan,48.167,nan,nan,23.568,nan,nan
CLDTOT_TAU1.3_9.4_MISR global,%,nan,22.806,nan,nan,9.981,nan,nan
CLDTOT_TAU9.4_MISR global,%,nan,25.362,nan,nan,17.47,nan,nan
CLDLOW_TAU1.3_MISR global,%,nan,27.344,nan,nan,18.148,nan,nan
CLDLOW_TAU1.3_9.4_MISR global,%,nan,15.714,nan,nan,10.505,nan,nan
CLDLOW_TAU9.4_MISR global,%,nan,11.63,nan,nan,10.027,nan,nan
CLDTOT_TAU1.3_MODIS global,%,nan,45.888,nan,nan,23.666,nan,nan
CLDTOT_TAU1.3_9.4_MODIS global,%,nan,23.067,nan,nan,9.888,nan,nan
CLDTOT_TAU9.4_MODIS global,%,nan,22.821,nan,nan,17.747,nan,nan
CLDHGH_TAU1.3_MODIS global,%,nan,32.295,nan,nan,21.695,nan,nan
CLDHGH_TAU1.3_9.4_MODIS global,%,nan,17.764,nan,nan,10.993,nan,nan
CLDHGH_TAU9.4_MODIS global,%,nan,14.531,nan,nan,14.037,nan,nan
CLDTOT_CAL global,%,nan,58.534,nan,nan,22.41,nan,nan
CLDLOW_CAL global,%,nan,34.469,nan,nan,23.432,nan,nan
CLDMED_CAL global,%,nan,15.161,nan,nan,14.02,nan,nan
CLDHGH_CAL global,%,nan,26.493,nan,nan,15.085,nan,nan
TGCLDLWP_OCN global,g/m^2,54.442,55.565,-1.123,28.587,28.803,7.316,0.968
AODVIS global,dimensionless,0.166,0.141,0.026,0.147,0.133,0.037,0.987
TREFHT global,DegC,13.238,13.203,0.035,15.305,15.193,0.79,0.999
TREFHT land,DegC,4.595,4.406,0.189,19.027,18.956,1.188,0.998
TAUXY ocean,N/m^2,0.077,0.08,-0.002,0.053,0.056,0.02,0.933
