Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.269,3.279,-0.01,3.138,3.043,0.906,0.958
SST global,degC,19.954,19.954,0.0,8.514,8.514,0.007,1.0
SOLIN global,W/m2,330.372,330.479,-0.107,139.778,139.824,0.117,1.0
ALBEDO global,dimensionless,0.317,0.319,-0.002,0.132,0.133,0.018,0.991
ALBEDOC global,dimensionless,0.175,0.177,-0.002,0.12,0.122,0.012,0.995
RESTOM global,W/m2,-5.957,-6.83,0.873,89.177,88.229,7.162,0.997
FLUT global,W/m2,243.396,243.835,-0.439,35.782,35.967,5.932,0.986
FLUTC global,W/m2,266.904,267.207,-0.304,31.269,31.631,2.433,0.997
FSNTOA global,W/m2,237.304,236.877,0.427,111.481,111.24,7.064,0.998
FSNTOAC global,W/m2,282.763,281.822,0.941,124.618,123.583,4.887,0.999
SWCF global,W/m2,-45.459,-44.945,-0.513,32.223,32.092,7.291,0.974
LWCF global,W/m2,23.508,23.372,0.136,14.513,14.259,4.109,0.959
NETCF global,W/m2,-21.951,-21.573,-0.378,28.708,28.647,5.339,0.983
ALBEDO_SRF global,dimensionless,0.143,0.143,0.001,0.18,0.179,0.007,0.999
SWCFSRF global,W/m2,-48.019,-47.642,-0.377,35.257,35.106,7.692,0.976
LWCFSRF global,W/m2,25.344,25.508,-0.164,19.06,19.279,2.424,0.992
NETCF_SRF global,W/m2,-22.676,-22.134,-0.541,36.591,35.946,6.2,0.986
FLDS global,W/m2,355.217,352.838,2.379,63.857,62.547,4.972,0.998
FLDSC global,W/m2,329.457,326.849,2.608,75.227,74.087,4.363,0.999
FLNS global,W/m2,52.133,54.383,-2.251,22.57,23.277,5.758,0.974
FLNSC global,W/m2,77.476,79.891,-2.415,18.934,18.493,4.929,0.974
FSDS global,W/m2,175.305,179.12,-3.815,87.027,89.69,11.46,0.993
FSDSC global,W/m2,229.104,232.602,-3.498,99.582,100.726,6.05,0.999
FSNS global,W/m2,156.222,159.575,-3.353,79.912,81.688,9.6,0.994
FSNSC global,W/m2,204.241,207.217,-2.976,92.493,93.279,4.75,0.999
LHFLX global,W/m2,94.995,95.16,-0.164,61.98,61.663,10.83,0.985
SHFLX global,W/m2,15.29,16.737,-1.447,20.989,21.73,5.63,0.968
NET_FLUX_SRF global,W/m2,-6.196,-6.705,0.509,81.993,80.584,12.542,0.988
TMQ global,kg/m2,26.499,25.859,0.64,14.301,13.912,1.802,0.993
U-850mb global,m/s,1.199,1.19,0.009,7.363,6.829,1.549,0.979
OMEGA-850mb global,mbar/day,-0.195,-0.181,-0.014,36.813,35.287,11.026,0.954
OMEGA-500mb global,mbar/day,-0.322,-0.32,-0.002,29.813,29.041,10.824,0.933
OMEGA-200mb global,mbar/day,0.179,0.176,0.002,15.932,15.431,5.898,0.93
U-200mb global,m/s,12.998,13.291,-0.293,16.504,15.909,2.701,0.987
Z3-500mb global,hectometer,56.887,56.802,0.085,2.894,2.828,0.204,0.998
T-850mb global,K,282.831,282.545,0.286,10.025,10.01,0.705,0.998
T-200mb global,K,217.653,217.185,0.468,4.789,4.773,0.871,0.988
PSL global,mbar,1011.097,1011.046,0.051,11.507,10.934,1.912,0.987
CLDTOT_TAU1.3_ISCCP global,%,nan,47.297,nan,nan,24.441,nan,nan
CLDTOT_TAU1.3_9.4_ISCCP global,%,nan,22.667,nan,nan,11.265,nan,nan
CLDTOT_TAU9.4_ISCCP global,%,nan,24.63,nan,nan,17.231,nan,nan
CLDTOT_TAU1.3_MISR global,%,nan,47.297,nan,nan,24.441,nan,nan
CLDTOT_TAU1.3_9.4_MISR global,%,nan,22.667,nan,nan,11.265,nan,nan
CLDTOT_TAU9.4_MISR global,%,nan,24.63,nan,nan,17.231,nan,nan
CLDLOW_TAU1.3_MISR global,%,nan,26.662,nan,nan,19.362,nan,nan
CLDLOW_TAU1.3_9.4_MISR global,%,nan,15.357,nan,nan,11.697,nan,nan
CLDLOW_TAU9.4_MISR global,%,nan,11.305,nan,nan,10.564,nan,nan
CLDTOT_TAU1.3_MODIS global,%,nan,44.912,nan,nan,24.437,nan,nan
CLDTOT_TAU1.3_9.4_MODIS global,%,nan,22.923,nan,nan,11.223,nan,nan
CLDTOT_TAU9.4_MODIS global,%,nan,21.989,nan,nan,17.566,nan,nan
CLDHGH_TAU1.3_MODIS global,%,nan,29.903,nan,nan,21.722,nan,nan
CLDHGH_TAU1.3_9.4_MODIS global,%,nan,16.877,nan,nan,12.167,nan,nan
CLDHGH_TAU9.4_MODIS global,%,nan,13.025,nan,nan,13.398,nan,nan
CLDTOT_CAL global,%,nan,56.62,nan,nan,23.885,nan,nan
CLDLOW_CAL global,%,nan,32.445,nan,nan,23.944,nan,nan
CLDMED_CAL global,%,nan,12.732,nan,nan,12.25,nan,nan
CLDHGH_CAL global,%,nan,28.34,nan,nan,16.693,nan,nan
TGCLDLWP_OCN global,g/m^2,53.496,52.76,0.736,27.624,27.154,7.3,0.965
AODVIS global,dimensionless,0.22,0.181,0.039,0.202,0.19,0.062,0.972
TREFHT global,DegC,16.376,16.226,0.15,14.369,14.411,0.641,0.999
TREFHT land,DegC,14.195,13.97,0.225,20.415,20.476,0.96,0.999
TAUXY ocean,N/m^2,0.089,0.081,0.008,0.068,0.064,0.02,0.963
