Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.2,3.239,-0.039,2.404,2.514,0.863,0.939
SST global,degC,19.86,19.86,0.0,8.992,8.992,0.006,1.0
SOLIN global,W/m2,338.245,338.355,-0.11,100.607,100.639,0.115,1.0
ALBEDO global,dimensionless,0.314,0.318,-0.003,0.141,0.14,0.019,0.991
ALBEDOC global,dimensionless,0.178,0.18,-0.002,0.138,0.138,0.011,0.997
RESTOM global,W/m2,3.501,1.579,1.922,71.692,70.527,6.3,0.997
FLUT global,W/m2,239.549,240.155,-0.606,33.704,34.093,6.33,0.983
FLUTC global,W/m2,263.193,263.736,-0.543,31.509,31.742,2.392,0.997
FSNTOA global,W/m2,242.908,241.6,1.308,97.996,97.242,6.998,0.998
FSNTOAC global,W/m2,286.031,285.092,0.939,101.421,100.644,4.159,0.999
SWCF global,W/m2,-43.124,-43.492,0.369,23.32,24.191,6.618,0.962
LWCF global,W/m2,23.644,23.581,0.063,11.72,11.654,4.494,0.926
NETCF global,W/m2,-19.479,-19.912,0.432,17.489,17.891,4.009,0.975
ALBEDO_SRF global,dimensionless,0.153,0.153,0.0,0.2,0.199,0.011,0.999
SWCFSRF global,W/m2,-45.92,-46.532,0.612,25.41,26.304,6.797,0.966
LWCFSRF global,W/m2,26.127,26.436,-0.31,19.072,19.291,2.336,0.993
NETCF_SRF global,W/m2,-19.793,-20.095,0.302,25.133,25.54,5.477,0.977
FLDS global,W/m2,345.446,344.266,1.18,66.74,65.772,4.093,0.998
FLDSC global,W/m2,318.747,317.197,1.55,79.856,78.966,3.64,0.999
FLNS global,W/m2,52.96,54.373,-1.413,19.418,20.964,4.641,0.979
FLNSC global,W/m2,79.087,80.809,-1.722,15.982,16.173,3.927,0.976
FSDS global,W/m2,186.685,189.074,-2.389,74.44,76.133,10.114,0.992
FSDSC global,W/m2,239.253,242.453,-3.2,72.285,73.033,5.941,0.998
FSNS global,W/m2,163.015,164.98,-1.966,75.782,76.497,8.584,0.994
FSNSC global,W/m2,208.935,211.512,-2.578,79.027,79.328,4.723,0.999
LHFLX global,W/m2,93.102,94.088,-0.986,56.744,57.921,11.589,0.98
SHFLX global,W/m2,14.342,15.61,-1.268,17.825,19.357,5.017,0.969
NET_FLUX_SRF global,W/m2,2.61,0.909,1.701,48.247,47.047,14.37,0.955
TMQ global,kg/m2,24.4,24.201,0.199,14.336,14.449,1.449,0.995
U-850mb global,m/s,1.064,1.067,-0.003,6.798,6.782,1.56,0.974
OMEGA-850mb global,mbar/day,-0.254,-0.253,-0.001,30.56,31.853,10.177,0.947
OMEGA-500mb global,mbar/day,-0.317,-0.314,-0.003,24.871,24.706,12.202,0.879
OMEGA-200mb global,mbar/day,0.176,0.175,0.001,13.006,12.672,6.31,0.88
U-200mb global,m/s,17.057,17.106,-0.049,11.793,12.063,2.97,0.969
Z3-500mb global,hectometer,56.513,56.482,0.031,2.836,2.78,0.233,0.997
T-850mb global,K,280.923,280.76,0.164,10.606,10.596,0.672,0.998
T-200mb global,K,218.147,217.984,0.163,3.327,3.288,0.892,0.965
PSL global,mbar,1011.252,1011.261,-0.009,10.517,9.958,2.05,0.981
CLDTOT_TAU1.3_ISCCP global,%,nan,46.953,nan,nan,23.485,nan,nan
CLDTOT_TAU1.3_9.4_ISCCP global,%,nan,23.2,nan,nan,10.137,nan,nan
CLDTOT_TAU9.4_ISCCP global,%,nan,23.753,nan,nan,15.608,nan,nan
CLDTOT_TAU1.3_MISR global,%,nan,46.949,nan,nan,23.493,nan,nan
CLDTOT_TAU1.3_9.4_MISR global,%,nan,23.198,nan,nan,10.14,nan,nan
CLDTOT_TAU9.4_MISR global,%,nan,23.751,nan,nan,15.611,nan,nan
CLDLOW_TAU1.3_MISR global,%,nan,25.982,nan,nan,17.875,nan,nan
CLDLOW_TAU1.3_9.4_MISR global,%,nan,15.402,nan,nan,10.815,nan,nan
CLDLOW_TAU9.4_MISR global,%,nan,10.58,nan,nan,8.441,nan,nan
CLDTOT_TAU1.3_MODIS global,%,nan,44.585,nan,nan,23.613,nan,nan
CLDTOT_TAU1.3_9.4_MODIS global,%,nan,23.498,nan,nan,10.1,nan,nan
CLDTOT_TAU9.4_MODIS global,%,nan,21.087,nan,nan,16.035,nan,nan
CLDHGH_TAU1.3_MODIS global,%,nan,29.844,nan,nan,20.84,nan,nan
CLDHGH_TAU1.3_9.4_MODIS global,%,nan,17.199,nan,nan,11.13,nan,nan
CLDHGH_TAU9.4_MODIS global,%,nan,12.645,nan,nan,11.819,nan,nan
CLDTOT_CAL global,%,nan,57.125,nan,nan,22.163,nan,nan
CLDLOW_CAL global,%,nan,31.822,nan,nan,22.611,nan,nan
CLDMED_CAL global,%,nan,13.944,nan,nan,13.259,nan,nan
CLDHGH_CAL global,%,nan,28.957,nan,nan,12.83,nan,nan
TGCLDLWP_OCN global,g/m^2,51.712,52.102,-0.39,26.348,26.3,6.458,0.97
AODVIS global,dimensionless,0.184,0.154,0.03,0.17,0.144,0.051,0.98
TREFHT global,DegC,14.561,14.534,0.027,14.895,14.83,0.568,0.999
TREFHT land,DegC,8.353,8.403,-0.05,20.019,19.878,0.967,0.999
TAUXY ocean,N/m^2,0.077,0.076,0.001,0.062,0.06,0.022,0.934
