Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.167,3.224,-0.057,2.705,2.796,0.738,0.965
SST global,degC,19.876,19.876,-0.0,8.569,8.568,0.008,1.0
SOLIN global,W/m2,342.169,342.28,-0.111,100.012,100.045,0.116,1.0
ALBEDO global,dimensionless,0.31,0.314,-0.004,0.134,0.134,0.017,0.992
ALBEDOC global,dimensionless,0.171,0.173,-0.002,0.13,0.131,0.008,0.998
RESTOM global,W/m2,4.76,3.271,1.489,72.941,72.6,4.63,0.998
FLUT global,W/m2,241.109,241.512,-0.403,33.154,33.298,4.745,0.99
FLUTC global,W/m2,264.078,264.633,-0.555,29.802,29.854,1.896,0.998
FSNTOA global,W/m2,245.729,244.652,1.076,97.462,97.278,5.653,0.998
FSNTOAC global,W/m2,290.615,289.987,0.629,104.869,104.734,2.493,1.0
SWCF global,W/m2,-44.886,-45.334,0.448,26.463,26.81,5.574,0.978
LWCF global,W/m2,22.969,23.121,-0.152,12.152,12.126,3.466,0.959
NETCF global,W/m2,-21.917,-22.213,0.296,21.185,21.238,3.712,0.985
ALBEDO_SRF global,dimensionless,0.142,0.142,-0.001,0.18,0.18,0.012,0.998
SWCFSRF global,W/m2,-48.085,-48.69,0.606,29.319,29.601,5.88,0.98
LWCFSRF global,W/m2,26.7,27.169,-0.469,19.373,19.622,2.338,0.993
NETCF_SRF global,W/m2,-21.385,-21.521,0.136,27.179,27.57,4.608,0.986
FLDS global,W/m2,346.38,345.343,1.037,63.811,62.977,3.952,0.998
FLDSC global,W/m2,319.111,317.558,1.553,76.912,76.165,3.456,0.999
FLNS global,W/m2,53.392,54.327,-0.935,20.023,20.623,3.967,0.982
FLNSC global,W/m2,80.092,81.496,-1.404,15.768,15.189,3.289,0.982
FSDS global,W/m2,189.369,190.954,-1.585,72.686,73.196,7.556,0.995
FSDSC global,W/m2,243.312,245.692,-2.381,74.007,73.905,3.524,0.999
FSNS global,W/m2,166.044,167.291,-1.247,75.992,76.335,6.565,0.996
FSNSC global,W/m2,214.129,215.981,-1.853,83.813,83.978,2.674,1.0
LHFLX global,W/m2,90.808,92.719,-1.911,56.452,58.144,9.601,0.987
SHFLX global,W/m2,13.502,14.377,-0.875,20.497,20.346,4.322,0.979
NET_FLUX_SRF global,W/m2,8.342,5.868,2.474,51.074,50.531,12.443,0.971
TMQ global,kg/m2,24.462,24.276,0.185,14.075,14.112,1.18,0.997
U-850mb global,m/s,0.949,0.978,-0.028,6.748,6.753,1.174,0.985
OMEGA-850mb global,mbar/day,-0.175,-0.182,0.007,33.949,33.328,9.644,0.959
OMEGA-500mb global,mbar/day,-0.327,-0.324,-0.003,26.083,25.874,9.966,0.926
OMEGA-200mb global,mbar/day,0.188,0.185,0.003,13.069,12.947,4.949,0.928
U-200mb global,m/s,15.965,16.029,-0.064,12.646,12.947,2.584,0.98
Z3-500mb global,hectometer,56.565,56.525,0.04,2.823,2.821,0.214,0.997
T-850mb global,K,281.153,280.939,0.214,10.133,10.139,0.684,0.998
T-200mb global,K,217.122,217.277,-0.155,3.211,2.986,1.048,0.947
PSL global,mbar,1011.191,1011.191,0.0,11.014,11.019,1.76,0.987
CLDTOT_TAU1.3_ISCCP global,%,nan,47.716,nan,nan,23.66,nan,nan
CLDTOT_TAU1.3_9.4_ISCCP global,%,nan,22.601,nan,nan,10.133,nan,nan
CLDTOT_TAU9.4_ISCCP global,%,nan,25.115,nan,nan,16.293,nan,nan
CLDTOT_TAU1.3_MISR global,%,nan,47.715,nan,nan,23.661,nan,nan
CLDTOT_TAU1.3_9.4_MISR global,%,nan,22.601,nan,nan,10.133,nan,nan
CLDTOT_TAU9.4_MISR global,%,nan,25.114,nan,nan,16.294,nan,nan
CLDLOW_TAU1.3_MISR global,%,nan,26.821,nan,nan,18.672,nan,nan
CLDLOW_TAU1.3_9.4_MISR global,%,nan,15.554,nan,nan,11.041,nan,nan
CLDLOW_TAU9.4_MISR global,%,nan,11.268,nan,nan,9.258,nan,nan
CLDTOT_TAU1.3_MODIS global,%,nan,45.413,nan,nan,23.809,nan,nan
CLDTOT_TAU1.3_9.4_MODIS global,%,nan,22.824,nan,nan,10.034,nan,nan
CLDTOT_TAU9.4_MODIS global,%,nan,22.588,nan,nan,16.706,nan,nan
CLDHGH_TAU1.3_MODIS global,%,nan,31.217,nan,nan,21.887,nan,nan
CLDHGH_TAU1.3_9.4_MODIS global,%,nan,17.302,nan,nan,11.274,nan,nan
CLDHGH_TAU9.4_MODIS global,%,nan,13.915,nan,nan,13.115,nan,nan
CLDTOT_CAL global,%,nan,56.965,nan,nan,22.639,nan,nan
CLDLOW_CAL global,%,nan,33.018,nan,nan,23.356,nan,nan
CLDMED_CAL global,%,nan,14.37,nan,nan,13.432,nan,nan
CLDHGH_CAL global,%,nan,27.131,nan,nan,13.801,nan,nan
TGCLDLWP_OCN global,g/m^2,51.644,52.208,-0.564,25.337,25.512,6.566,0.967
AODVIS global,dimensionless,0.18,0.15,0.03,0.127,0.118,0.04,0.981
TREFHT global,DegC,14.956,14.887,0.069,13.827,13.786,0.545,0.999
TREFHT land,DegC,9.991,9.787,0.204,18.585,18.539,0.833,0.999
TAUXY ocean,N/m^2,0.076,0.077,-0.001,0.057,0.057,0.019,0.946
