Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.2,mm/day,3.096,2.675,0.421,2.24,1.922,1.31,0.833
PRECT global GPCP_v2.3,mm/day,3.096,2.69,0.405,2.24,1.934,1.302,0.834
TREFHT land_60S90N CRU,DegC,13.591,12.866,0.725,11.746,13.126,2.621,0.986
SST global HadISST_CL,degC,19.977,20.315,-0.338,8.402,8.154,1.177,0.991
SST global HadISST_PI,degC,19.977,19.898,0.079,8.402,8.139,1.173,0.99
SST global HadISST_PD,degC,19.977,20.402,-0.425,8.402,8.174,1.239,0.991
SOLIN global ceres_ebaf_toa_v2.8,W/m2,340.478,340.108,0.371,72.847,72.829,0.841,1.0
ALBEDO global ceres_ebaf_toa_v2.8,dimensionless,0.325,0.315,0.009,0.119,0.12,0.035,0.96
ALBEDOC global ceres_ebaf_toa_v2.8,dimensionless,0.17,0.173,-0.002,0.118,0.124,0.028,0.975
RESTOM global ceres_ebaf_toa_v2.8,W/m2,1.996,0.819,1.177,54.172,56.114,10.195,0.984
FLUT global ceres_ebaf_toa_v2.8,W/m2,235.843,239.72,-3.876,30.326,29.697,8.538,0.968
FLUTC global ceres_ebaf_toa_v2.8,W/m2,260.729,265.699,-4.97,29.655,30.003,7.042,0.986
FSNTOA global ceres_ebaf_toa_v2.8,W/m2,237.705,240.539,-2.834,79.938,80.051,11.899,0.99
FSNTOAC global ceres_ebaf_toa_v2.8,W/m2,288.256,287.668,0.588,82.53,84.054,7.397,0.996
SWCF global ceres_ebaf_toa_v2.8,W/m2,-50.552,-47.129,-3.422,21.732,20.528,12.362,0.843
LWCF global ceres_ebaf_toa_v2.8,W/m2,24.886,25.98,-1.094,10.74,11.143,5.773,0.866
NETCF global ceres_ebaf_toa_v2.8,W/m2,-25.666,-21.149,-4.516,15.662,15.111,11.325,0.773
SOLIN global ceres_ebaf_toa_v4.0,W/m2,340.478,340.276,0.203,72.847,72.729,0.643,1.0
ALBEDO global ceres_ebaf_toa_v4.0,dimensionless,0.325,0.314,0.011,0.119,0.12,0.036,0.959
ALBEDOC global ceres_ebaf_toa_v4.0,dimensionless,0.17,0.175,-0.004,0.118,0.123,0.028,0.974
RESTOM global ceres_ebaf_toa_v4.0,W/m2,1.996,0.859,1.137,54.172,56.024,10.203,0.984
FLUT global ceres_ebaf_toa_v4.0,W/m2,235.843,240.257,-4.414,30.326,29.761,8.803,0.968
FLUTC global ceres_ebaf_toa_v4.0,W/m2,260.729,268.249,-7.52,29.655,31.263,8.969,0.989
FSNTOA global ceres_ebaf_toa_v4.0,W/m2,237.705,241.117,-3.412,79.938,80.146,12.319,0.989
FSNTOAC global ceres_ebaf_toa_v4.0,W/m2,288.256,286.923,1.334,82.53,82.945,7.284,0.996
SWCF global ceres_ebaf_toa_v4.0,W/m2,-50.552,-45.806,-4.746,21.732,20.576,13.231,0.831
