Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.2,mm/day,3.088,2.677,0.411,2.844,2.326,1.708,0.812
PRECT global GPCP_v2.3,mm/day,3.088,2.699,0.389,2.844,2.369,1.655,0.825
TREFHT land_60S90N CRU,DegC,7.011,5.472,1.54,17.26,20.012,4.685,0.983
SST global HadISST_CL,degC,19.53,19.868,-0.338,8.794,8.564,1.082,0.993
SST global HadISST_PI,degC,19.564,19.506,0.058,8.765,8.501,1.073,0.993
SST global HadISST_PD,degC,19.53,19.94,-0.41,8.794,8.587,1.133,0.993
SOLIN global ceres_ebaf_toa_v2.8,W/m2,350.635,350.031,0.604,146.412,146.542,1.049,1.0
ALBEDO global ceres_ebaf_toa_v2.8,dimensionless,0.343,0.353,-0.01,0.14,0.442,0.413,0.358
ALBEDOC global ceres_ebaf_toa_v2.8,dimensionless,0.192,0.2,-0.008,0.149,0.194,0.104,0.85
RESTOM global ceres_ebaf_toa_v2.8,W/m2,8.876,7.518,1.358,98.193,95.451,13.26,0.991
FLUT global ceres_ebaf_toa_v2.8,W/m2,234.502,236.832,-2.33,32.899,32.714,10.418,0.952
FLUTC global ceres_ebaf_toa_v2.8,W/m2,258.565,262.586,-4.021,31.705,33.313,7.602,0.982
FSNTOA global ceres_ebaf_toa_v2.8,W/m2,243.243,244.35,-1.106,118.891,116.674,15.012,0.992
FSNTOAC global ceres_ebaf_toa_v2.8,W/m2,296.419,295.89,0.53,139.146,139.022,10.726,0.997
SWCF global ceres_ebaf_toa_v2.8,W/m2,-53.176,-51.54,-1.636,37.794,37.782,14.611,0.926
LWCF global ceres_ebaf_toa_v2.8,W/m2,24.063,25.754,-1.691,14.204,14.661,7.976,0.855
NETCF global ceres_ebaf_toa_v2.8,W/m2,-29.113,-25.786,-3.327,32.838,34.346,13.396,0.926
SOLIN global ceres_ebaf_toa_v4.0,W/m2,350.635,350.514,0.121,146.412,146.73,0.727,1.0
ALBEDO global ceres_ebaf_toa_v4.0,dimensionless,0.343,0.351,-0.007,0.14,0.438,0.408,0.362
ALBEDOC global ceres_ebaf_toa_v4.0,dimensionless,0.192,0.212,-0.02,0.149,0.278,0.211,0.667
RESTOM global ceres_ebaf_toa_v4.0,W/m2,8.876,7.885,0.991,98.193,95.894,13.308,0.991
FLUT global ceres_ebaf_toa_v4.0,W/m2,234.502,237.395,-2.894,32.899,32.837,10.608,0.952
FLUTC global ceres_ebaf_toa_v4.0,W/m2,258.565,265.278,-6.713,31.705,34.719,9.534,0.983
FSNTOA global ceres_ebaf_toa_v4.0,W/m2,243.243,245.28,-2.037,118.891,117.229,15.402,0.992
FSNTOAC global ceres_ebaf_toa_v4.0,W/m2,296.419,294.947,1.472,139.146,138.445,10.807,0.997
SWCF global ceres_ebaf_toa_v4.0,W/m2,-53.176,-49.667,-3.509,37.794,37.369,15.224,0.922
LWCF global ceres_ebaf_toa_v4.0,W/m2,24.063,27.883,-3.82,14.204,16.045,9.247,0.852
NETCF global ceres_ebaf_toa_v4.0,W/m2,-29.113,-21.784,-7.329,32.838,33.237,15.476,0.915
ALBEDO_SRF global ceres_ebaf_surface_v2.8,dimensionless,0.17,0.162,0.008,0.214,0.223,0.132,0.818
SWCFSRF global ceres_ebaf_surface_v2.8,W/m2,-57.276,-57.106,-0.169,42.016,41.547,15.726,0.929
