Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.2,mm/day,3.15,2.707,0.443,3.135,2.489,1.852,0.819
PRECT global GPCP_v2.3,mm/day,3.15,2.715,0.435,3.135,2.517,1.83,0.824
SST global HadISST_CL,degC,19.72,20.072,-0.352,8.726,8.398,1.405,0.988
SST global HadISST_PI,degC,19.85,19.758,0.092,8.616,8.3,1.401,0.987
SST global HadISST_PD,degC,19.72,20.173,-0.452,8.726,8.418,1.471,0.987
SOLIN global ceres_ebaf_toa_v2.8,W/m2,330.531,330.094,0.438,139.844,138.966,1.467,1.0
ALBEDO global ceres_ebaf_toa_v2.8,dimensionless,0.335,0.33,0.005,0.133,0.223,0.17,0.648
ALBEDOC global ceres_ebaf_toa_v2.8,dimensionless,0.179,0.186,-0.007,0.127,0.168,0.084,0.875
RESTOM global ceres_ebaf_toa_v2.8,W/m2,-5.908,-7.588,1.679,87.877,86.491,15.349,0.985
FLUT global ceres_ebaf_toa_v2.8,W/m2,238.052,243.359,-5.307,35.671,35.404,11.535,0.958
FLUTC global ceres_ebaf_toa_v2.8,W/m2,263.458,269.388,-5.931,31.816,32.028,8.234,0.984
FSNTOA global ceres_ebaf_toa_v2.8,W/m2,232.017,235.771,-3.754,109.4,107.573,18.327,0.986
FSNTOAC global ceres_ebaf_toa_v2.8,W/m2,281.977,280.604,1.373,123.815,123.185,9.64,0.997
SWCF global ceres_ebaf_toa_v2.8,W/m2,-49.961,-44.834,-5.127,34.701,30.324,19.404,0.843
LWCF global ceres_ebaf_toa_v2.8,W/m2,25.406,26.029,-0.624,15.609,14.626,7.913,0.866
NETCF global ceres_ebaf_toa_v2.8,W/m2,-24.555,-18.804,-5.751,30.153,27.147,17.502,0.839
SOLIN global ceres_ebaf_toa_v4.0,W/m2,330.531,330.4,0.132,139.844,139.078,1.189,1.0
ALBEDO global ceres_ebaf_toa_v4.0,dimensionless,0.335,0.329,0.006,0.133,0.236,0.186,0.619
