Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.19,3.232,-0.042,2.3,2.309,0.453,0.981
SST global,degC,20.071,20.071,0.0,8.381,8.381,0.006,1.0
SOLIN global,W/m2,340.415,340.415,0.0,72.834,72.834,0.0,1.0
ALBEDO global,dimensionless,0.312,0.311,0.002,0.126,0.126,0.011,0.997
ALBEDOC global,dimensionless,0.17,0.17,-0.0,0.121,0.121,0.005,0.999
RESTOM global,W/m2,3.002,1.835,1.167,55.401,54.74,2.968,0.999
FLUT global,W/m2,239.453,241.181,-1.728,31.627,32.013,3.322,0.996
FLUTC global,W/m2,263.252,264.319,-1.066,29.73,29.951,1.489,0.999
FSNTOA global,W/m2,242.319,242.882,-0.563,82.412,82.484,3.587,0.999
FSNTOAC global,W/m2,288.449,288.378,0.071,82.821,82.723,1.144,1.0
SWCF global,W/m2,-46.131,-45.496,-0.634,20.725,20.771,3.613,0.985
LWCF global,W/m2,23.8,23.138,0.662,10.936,10.521,2.288,0.98
NETCF global,W/m2,-22.331,-22.359,0.028,14.524,14.181,2.646,0.983
ALBEDO_SRF global,dimensionless,0.144,0.144,0.0,0.174,0.173,0.008,0.999
SWCFSRF global,W/m2,-49.388,-48.708,-0.679,22.449,22.489,3.826,0.986
LWCFSRF global,W/m2,26.429,26.726,-0.298,18.202,18.692,1.622,0.997
NETCF_SRF global,W/m2,-22.959,-21.982,-0.977,19.494,19.515,3.227,0.988
FLDS global,W/m2,345.732,345.311,0.421,62.842,62.344,2.679,0.999
FLDSC global,W/m2,318.224,317.519,0.705,75.754,75.43,2.181,1.0
FLNS global,W/m2,53.48,54.047,-0.567,18.644,19.643,2.327,0.994
FLNSC global,W/m2,79.909,80.774,-0.865,13.77,14.246,1.781,0.994
FSDS global,W/m2,187.854,188.664,-0.809,60.947,61.036,4.404,0.997
FSDSC global,W/m2,243.52,243.54,-0.02,50.164,50.09,0.919,1.0
FSNS global,W/m2,164.838,165.552,-0.714,65.837,65.91,3.948,0.998
FSNSC global,W/m2,214.226,214.261,-0.034,65.377,65.286,1.301,1.0
LHFLX global,W/m2,92.316,93.516,-1.2,54.894,55.913,5.975,0.995
SHFLX global,W/m2,15.087,15.19,-0.103,17.704,17.68,2.396,0.991
NET_FLUX_SRF global,W/m2,3.955,2.799,1.156,32.261,31.944,7.66,0.972
TMQ global,kg/m2,24.692,24.437,0.255,13.661,13.479,0.702,0.999
OMEGA-850mb global,mbar/day,-0.199,-0.212,0.014,28.634,28.656,5.659,0.98
OMEGA-500mb global,mbar/day,-0.333,-0.317,-0.015,22.525,22.019,6.524,0.957
OMEGA-200mb global,mbar/day,0.188,0.181,0.007,11.699,11.089,3.344,0.958
U-200mb global,m/s,16.101,15.793,0.308,12.181,12.094,1.359,0.994
Z3-500mb global,hectometer,56.564,56.535,0.028,2.768,2.726,0.134,0.999
T-200mb global,K,217.181,217.254,-0.072,3.043,3.214,0.614,0.983
PSL global,mbar,1011.224,1011.23,-0.006,10.98,10.474,1.248,0.994
U-850mb global,m/s,1.038,1.022,0.016,6.661,6.53,0.814,0.993
CLDTOT_TAU1.3_ISCCP global,%,47.954,47.578,0.376,21.871,22.214,2.861,0.992
CLDTOT_TAU1.3_9.4_ISCCP global,%,22.593,22.851,-0.258,9.051,9.413,1.865,0.981
CLDTOT_TAU9.4_ISCCP global,%,25.361,24.727,0.634,15.162,15.046,2.36,0.989
CLDTOT_TAU1.3_MISR global,%,47.929,47.576,0.353,21.884,22.218,2.858,0.992
CLDTOT_TAU1.3_9.4_MISR global,%,22.569,22.85,-0.281,9.061,9.415,1.867,0.981
CLDTOT_TAU9.4_MISR global,%,25.36,24.726,0.634,15.164,15.048,2.36,0.989
CLDLOW_TAU1.3_MISR global,%,26.994,26.791,0.203,17.399,17.329,2.204,0.992
CLDLOW_TAU1.3_9.4_MISR global,%,15.385,15.571,-0.186,10.14,10.306,1.566,0.989
CLDLOW_TAU9.4_MISR global,%,11.609,11.22,0.389,8.692,8.443,1.553,0.985
CLDTOT_TAU1.3_MODIS global,%,45.884,45.527,0.356,22.039,22.363,2.826,0.992
CLDTOT_TAU1.3_9.4_MODIS global,%,22.661,22.929,-0.268,8.985,9.315,1.854,0.981
CLDTOT_TAU9.4_MODIS global,%,23.222,22.598,0.624,15.685,15.571,2.323,0.99
CLDHGH_TAU1.3_MODIS global,%,31.226,31.011,0.214,19.978,20.218,2.367,0.993
CLDHGH_TAU1.3_9.4_MODIS global,%,17.123,17.307,-0.184,10.171,10.463,1.696,0.987
CLDHGH_TAU9.4_MODIS global,%,14.102,13.704,0.398,12.062,11.93,1.737,0.99
CLDTOT_CAL global,%,58.106,57.295,0.811,20.676,21.144,2.823,0.992
CLDLOW_CAL global,%,33.375,32.994,0.381,22.263,22.176,2.208,0.995
CLDMED_CAL global,%,13.959,13.957,0.002,12.451,12.49,1.724,0.99
CLDHGH_CAL global,%,28.353,27.536,0.817,12.1,11.968,2.602,0.979
TGCLDLWP_OCN global,g/m^2,53.618,52.583,1.035,24.902,24.022,4.125,0.987
AODVIS global,dimensionless,0.154,0.157,-0.003,0.132,0.142,0.018,0.994
TREFHT global,DegC,14.719,14.732,-0.013,13.876,13.879,0.395,1.0
TREFHT land,DegC,9.166,9.18,-0.014,18.396,18.472,0.603,0.999
TAUXY ocean,N/m^2,0.077,0.075,0.002,0.061,0.058,0.013,0.976
