Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.155,3.185,-0.03,2.724,2.727,0.912,0.944
SST global,degC,19.876,19.876,0.0,8.568,8.569,0.009,1.0
SOLIN global,W/m2,342.28,342.28,0.0,100.045,100.045,0.0,1.0
ALBEDO global,dimensionless,0.315,0.315,0.0,0.137,0.138,0.02,0.989
ALBEDOC global,dimensionless,0.173,0.174,-0.001,0.134,0.134,0.007,0.998
RESTOM global,W/m2,4.479,3.145,1.334,72.926,72.727,4.789,0.998
FLUT global,W/m2,239.831,241.465,-1.634,33.196,33.803,5.821,0.986
FLUTC global,W/m2,263.43,264.411,-0.98,29.885,30.483,2.328,0.998
FSNTOA global,W/m2,244.178,244.481,-0.303,97.485,97.816,6.504,0.998
FSNTOAC global,W/m2,290.054,289.753,0.301,105.129,105.086,1.579,1.0
SWCF global,W/m2,-45.876,-45.272,-0.605,27.134,26.819,6.511,0.971
LWCF global,W/m2,23.599,22.945,0.654,12.536,12.092,4.264,0.942
NETCF global,W/m2,-22.277,-22.326,0.049,22.037,21.187,4.398,0.98
ALBEDO_SRF global,dimensionless,0.143,0.143,-0.0,0.182,0.182,0.014,0.997
SWCFSRF global,W/m2,-49.287,-48.638,-0.648,29.98,29.601,6.834,0.974
LWCFSRF global,W/m2,26.838,27.079,-0.241,19.26,19.752,2.899,0.989
NETCF_SRF global,W/m2,-22.449,-21.56,-0.889,27.71,27.304,5.485,0.981
FLDS global,W/m2,345.966,345.263,0.703,63.333,63.748,4.893,0.997
FLDSC global,W/m2,318.518,317.547,0.971,76.484,76.941,4.14,0.999
FLNS global,W/m2,53.761,54.361,-0.601,19.52,20.823,4.328,0.979
FLNSC global,W/m2,80.598,81.44,-0.841,14.641,15.508,3.254,0.98
FSDS global,W/m2,190.376,190.999,-0.622,72.917,73.296,7.937,0.994
FSDSC global,W/m2,245.852,245.699,0.154,73.86,73.739,1.764,1.0
FSNS global,W/m2,166.81,167.221,-0.41,76.181,76.433,7.178,0.996
FSNSC global,W/m2,216.097,215.859,0.238,83.981,83.87,1.983,1.0
LHFLX global,W/m2,90.601,91.433,-0.831,56.239,57.389,11.829,0.979
SHFLX global,W/m2,14.235,14.358,-0.123,20.771,20.675,4.46,0.977
NET_FLUX_SRF global,W/m2,8.213,7.069,1.145,50.517,50.73,15.203,0.955
TMQ global,kg/m2,24.62,24.335,0.285,14.246,14.145,1.411,0.995
U-850mb global,m/s,1.056,0.957,0.099,6.884,6.895,1.368,0.98
OMEGA-850mb global,mbar/day,-0.157,-0.176,0.019,33.573,33.384,11.157,0.944
OMEGA-500mb global,mbar/day,-0.336,-0.32,-0.016,26.322,25.967,12.855,0.879
OMEGA-200mb global,mbar/day,0.194,0.186,0.009,13.704,12.959,6.436,0.885
U-200mb global,m/s,16.513,16.17,0.343,12.652,12.987,2.91,0.975
Z3-500mb global,hectometer,56.566,56.53,0.036,2.871,2.862,0.245,0.996
T-850mb global,K,281.049,280.954,0.095,10.155,10.265,0.876,0.996
T-200mb global,K,216.631,216.87,-0.239,3.612,3.861,0.977,0.97
PSL global,mbar,1011.171,1011.197,-0.027,11.911,11.512,2.012,0.986
CLDTOT_TAU1.3_ISCCP global,%,48.046,47.584,0.462,23.576,23.847,5.271,0.976
CLDTOT_TAU1.3_9.4_ISCCP global,%,22.349,22.536,-0.187,9.991,10.291,3.386,0.945
CLDTOT_TAU9.4_ISCCP global,%,25.696,25.048,0.648,16.607,16.289,4.459,0.964
CLDTOT_TAU1.3_MISR global,%,48.021,47.584,0.438,23.586,23.847,5.269,0.976
CLDTOT_TAU1.3_9.4_MISR global,%,22.325,22.536,-0.211,9.999,10.291,3.385,0.945
CLDTOT_TAU9.4_MISR global,%,25.696,25.048,0.649,16.607,16.289,4.459,0.964
CLDLOW_TAU1.3_MISR global,%,27.161,26.837,0.324,19.055,18.717,4.052,0.977
CLDLOW_TAU1.3_9.4_MISR global,%,15.45,15.59,-0.141,11.067,11.125,2.789,0.968
CLDLOW_TAU9.4_MISR global,%,11.712,11.247,0.465,9.694,9.165,2.998,0.952
CLDTOT_TAU1.3_MODIS global,%,46.017,45.586,0.431,23.782,24.014,5.249,0.976
CLDTOT_TAU1.3_9.4_MODIS global,%,22.396,22.583,-0.187,9.916,10.18,3.368,0.944
CLDTOT_TAU9.4_MODIS global,%,23.621,23.003,0.618,17.092,16.759,4.428,0.967
CLDHGH_TAU1.3_MODIS global,%,31.556,31.173,0.383,22.044,21.928,4.388,0.98
CLDHGH_TAU1.3_9.4_MODIS global,%,17.083,17.22,-0.137,11.166,11.333,3.109,0.962
CLDHGH_TAU9.4_MODIS global,%,14.473,13.953,0.52,13.567,13.021,3.39,0.969
CLDTOT_CAL global,%,57.747,56.877,0.87,22.266,22.956,5.374,0.973
CLDLOW_CAL global,%,33.568,33.173,0.395,23.9,23.725,4.103,0.985
CLDMED_CAL global,%,14.037,14.125,-0.088,13.271,13.444,3.108,0.973
CLDHGH_CAL global,%,27.623,26.898,0.726,13.818,13.745,5.087,0.933
TGCLDLWP_OCN global,g/m^2,53.16,52.099,1.061,26.402,25.346,7.513,0.96
AODVIS global,dimensionless,0.144,0.151,-0.007,0.102,0.122,0.032,0.977
TREFHT global,DegC,14.908,14.851,0.057,13.764,13.996,0.719,0.999
TREFHT land,DegC,9.912,9.687,0.224,18.496,18.969,1.133,0.999
TAUXY ocean,N/m^2,0.08,0.079,0.002,0.065,0.063,0.021,0.949
