Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.16,3.218,-0.058,2.816,2.896,0.88,0.953
SST global,degC,19.731,19.731,-0.0,8.717,8.717,0.009,1.0
SOLIN global,W/m2,350.546,350.546,0.0,146.373,146.373,0.0,1.0
ALBEDO global,dimensionless,0.33,0.329,0.001,0.146,0.145,0.019,0.992
ALBEDOC global,dimensionless,0.19,0.189,0.001,0.148,0.146,0.009,0.998
RESTOM global,W/m2,10.461,9.185,1.276,98.952,98.738,4.911,0.999
FLUT global,W/m2,237.976,239.501,-1.525,34.611,34.716,5.807,0.987
FLUTC global,W/m2,260.739,262.014,-1.275,32.436,32.254,2.653,0.997
FSNTOA global,W/m2,248.295,248.546,-0.251,121.644,121.481,6.538,0.999
FSNTOAC global,W/m2,296.664,296.791,-0.128,139.235,139.123,1.801,1.0
SWCF global,W/m2,-48.369,-48.245,-0.124,37.258,36.868,6.489,0.985
LWCF global,W/m2,22.764,22.513,0.25,14.306,13.586,4.301,0.954
NETCF global,W/m2,-25.605,-25.731,0.127,32.527,32.038,4.574,0.99
ALBEDO_SRF global,dimensionless,0.167,0.166,0.001,0.212,0.21,0.016,0.997
SWCFSRF global,W/m2,-52.146,-52.032,-0.114,41.614,41.147,6.803,0.987
LWCFSRF global,W/m2,27.185,27.854,-0.668,19.211,19.725,3.038,0.989
NETCF_SRF global,W/m2,-24.961,-24.179,-0.782,37.891,37.826,5.947,0.988
FLDS global,W/m2,338.436,338.878,-0.442,70.087,69.033,5.704,0.997
FLDSC global,W/m2,310.803,310.564,0.239,82.503,81.741,4.409,0.999
FLNS global,W/m2,52.557,52.849,-0.293,20.372,21.219,3.75,0.985
FLNSC global,W/m2,79.742,80.703,-0.961,15.113,15.611,3.018,0.983
FSDS global,W/m2,194.923,195.379,-0.456,95.783,95.848,7.964,0.997
FSDSC global,W/m2,253.098,253.333,-0.235,110.854,110.947,1.477,1.0
FSNS global,W/m2,169.902,170.335,-0.433,92.155,91.915,7.241,0.997
FSNSC global,W/m2,222.048,222.367,-0.319,110.666,110.534,2.049,1.0
LHFLX global,W/m2,91.351,93.042,-1.692,65.265,67.591,12.209,0.984
SHFLX global,W/m2,13.85,13.967,-0.117,23.724,23.54,5.367,0.974
NET_FLUX_SRF global,W/m2,12.145,10.477,1.668,91.914,93.401,17.436,0.983
TMQ global,kg/m2,23.536,23.43,0.106,14.621,14.574,1.177,0.997
U-850mb global,m/s,0.817,0.95,-0.133,7.328,7.156,1.434,0.981
OMEGA-850mb global,mbar/day,-0.124,-0.126,0.002,34.234,35.058,11.3,0.947
OMEGA-500mb global,mbar/day,-0.308,-0.309,0.001,29.81,29.745,12.84,0.907
OMEGA-200mb global,mbar/day,0.169,0.17,-0.001,16.171,15.259,6.577,0.914
U-200mb global,m/s,16.0,16.263,-0.263,14.487,14.338,2.908,0.98
Z3-500mb global,hectometer,56.334,56.329,0.005,2.812,2.795,0.259,0.996
T-850mb global,K,279.633,279.61,0.023,11.282,11.123,0.926,0.997
T-200mb global,K,217.778,217.639,0.14,2.77,2.789,0.943,0.944
PSL global,mbar,1011.39,1011.385,0.004,11.548,11.549,2.069,0.984
CLDTOT_TAU1.3_ISCCP global,%,47.797,48.208,-0.411,23.862,24.032,6.205,0.967
CLDTOT_TAU1.3_9.4_ISCCP global,%,22.479,23.185,-0.706,10.156,10.819,4.279,0.921
CLDTOT_TAU9.4_ISCCP global,%,25.317,25.022,0.295,17.455,17.193,4.742,0.963
CLDTOT_TAU1.3_MISR global,%,47.778,48.208,-0.43,23.87,24.032,6.205,0.967
CLDTOT_TAU1.3_9.4_MISR global,%,22.461,23.185,-0.725,10.162,10.819,4.28,0.921
CLDTOT_TAU9.4_MISR global,%,25.317,25.022,0.295,17.455,17.193,4.742,0.963
CLDLOW_TAU1.3_MISR global,%,27.098,27.723,-0.625,18.426,18.632,5.068,0.963
CLDLOW_TAU1.3_9.4_MISR global,%,15.37,16.115,-0.745,10.515,11.135,3.731,0.945
CLDLOW_TAU9.4_MISR global,%,11.728,11.608,0.12,10.25,9.952,3.059,0.955
CLDTOT_TAU1.3_MODIS global,%,45.728,46.19,-0.462,24.03,24.182,6.17,0.967
CLDTOT_TAU1.3_9.4_MODIS global,%,22.548,23.288,-0.741,10.051,10.686,4.255,0.92
CLDTOT_TAU9.4_MODIS global,%,23.18,22.901,0.279,17.844,17.602,4.693,0.965
CLDHGH_TAU1.3_MODIS global,%,31.91,32.504,-0.594,21.591,22.005,5.489,0.969
CLDHGH_TAU1.3_9.4_MODIS global,%,17.344,18.091,-0.748,10.903,11.646,4.063,0.939
CLDHGH_TAU9.4_MODIS global,%,14.567,14.413,0.154,13.963,13.735,3.695,0.965
CLDTOT_CAL global,%,58.493,58.316,0.177,23.211,23.303,5.216,0.975
CLDLOW_CAL global,%,34.245,34.575,-0.33,23.788,23.766,4.239,0.984
CLDMED_CAL global,%,14.926,14.807,0.119,14.048,13.956,3.374,0.971
CLDHGH_CAL global,%,26.831,26.209,0.622,15.949,15.488,5.364,0.943
TGCLDLWP_OCN global,g/m^2,54.934,54.747,0.188,28.64,28.26,7.897,0.962
AODVIS global,dimensionless,0.144,0.142,0.002,0.152,0.144,0.023,0.99
TREFHT global,DegC,13.102,13.261,-0.16,15.292,14.973,1.086,0.998
TREFHT land,DegC,4.078,4.583,-0.505,19.132,18.7,1.818,0.996
TAUXY ocean,N/m^2,0.081,0.08,0.001,0.06,0.061,0.022,0.935
