Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.254,3.293,-0.04,3.044,3.074,0.876,0.959
SST global,degC,19.954,19.954,0.0,8.514,8.514,0.006,1.0
SOLIN global,W/m2,330.479,330.479,0.0,139.824,139.824,0.0,1.0
ALBEDO global,dimensionless,0.321,0.32,0.002,0.135,0.135,0.017,0.992
ALBEDOC global,dimensionless,0.178,0.178,0.0,0.124,0.123,0.004,1.0
RESTOM global,W/m2,-5.676,-6.69,1.014,88.904,87.849,4.971,0.999
FLUT global,W/m2,242.219,243.674,-1.455,36.221,36.197,5.033,0.991
FLUTC global,W/m2,266.072,267.181,-1.109,31.715,31.654,2.088,0.998
FSNTOA global,W/m2,236.407,236.851,-0.444,111.317,111.084,6.532,0.998
FSNTOAC global,W/m2,281.562,281.607,-0.045,123.584,123.574,1.397,1.0
SWCF global,W/m2,-45.156,-44.757,-0.399,32.44,31.963,6.531,0.98
LWCF global,W/m2,23.853,23.508,0.346,14.816,14.477,3.734,0.968
NETCF global,W/m2,-21.302,-21.249,-0.053,28.924,28.329,4.941,0.985
ALBEDO_SRF global,dimensionless,0.143,0.143,0.0,0.18,0.18,0.007,0.999
SWCFSRF global,W/m2,-47.801,-47.389,-0.412,35.466,34.893,6.937,0.981
LWCFSRF global,W/m2,25.084,25.328,-0.244,19.05,19.208,2.466,0.992
NETCF_SRF global,W/m2,-22.717,-22.061,-0.657,36.05,35.939,5.529,0.988
FLDS global,W/m2,352.895,352.679,0.216,63.115,62.585,3.766,0.998
FLDSC global,W/m2,327.34,326.868,0.472,74.388,73.956,3.272,0.999
FLNS global,W/m2,54.245,54.642,-0.398,22.942,23.416,3.524,0.989
FLNSC global,W/m2,79.329,79.97,-0.642,18.151,18.652,2.719,0.99
FSDS global,W/m2,178.681,179.232,-0.551,89.669,89.288,7.799,0.996
FSDSC global,W/m2,232.4,232.47,-0.071,100.577,100.585,1.705,1.0
FSNS global,W/m2,159.056,159.568,-0.513,81.75,81.46,7.098,0.996
FSNSC global,W/m2,206.857,206.957,-0.1,93.25,93.24,1.932,1.0
LHFLX global,W/m2,94.366,95.694,-1.328,61.429,61.773,9.685,0.988
SHFLX global,W/m2,16.609,16.756,-0.147,22.272,21.916,4.25,0.982
NET_FLUX_SRF global,W/m2,-6.165,-7.524,1.359,81.468,80.261,12.273,0.989
TMQ global,kg/m2,25.931,25.812,0.119,14.105,14.012,1.118,0.997
U-850mb global,m/s,1.278,1.168,0.11,7.148,6.904,1.434,0.98
OMEGA-850mb global,mbar/day,-0.199,-0.214,0.015,35.486,35.326,10.791,0.953
OMEGA-500mb global,mbar/day,-0.337,-0.323,-0.014,29.579,28.98,11.385,0.925
OMEGA-200mb global,mbar/day,0.191,0.186,0.006,16.018,15.379,6.212,0.923
U-200mb global,m/s,13.642,13.535,0.108,15.955,15.966,2.45,0.988
Z3-500mb global,hectometer,56.822,56.804,0.018,2.9,2.796,0.253,0.997
T-850mb global,K,282.633,282.569,0.063,10.078,9.975,0.657,0.998
T-200mb global,K,216.672,216.887,-0.215,4.89,5.071,0.888,0.986
PSL global,mbar,1011.043,1011.085,-0.042,11.928,10.543,2.587,0.981
CLDTOT_TAU1.3_ISCCP global,%,47.309,47.087,0.222,24.679,24.519,5.268,0.977
CLDTOT_TAU1.3_9.4_ISCCP global,%,22.266,22.638,-0.372,11.002,11.403,3.684,0.947
CLDTOT_TAU9.4_ISCCP global,%,25.043,24.449,0.594,17.571,17.082,4.237,0.971
CLDTOT_TAU1.3_MISR global,%,47.287,47.087,0.201,24.685,24.519,5.269,0.977
CLDTOT_TAU1.3_9.4_MISR global,%,22.244,22.638,-0.394,11.006,11.404,3.686,0.947
CLDTOT_TAU9.4_MISR global,%,25.043,24.449,0.594,17.571,17.082,4.237,0.971
CLDLOW_TAU1.3_MISR global,%,26.53,26.279,0.25,19.6,19.006,3.984,0.979
CLDLOW_TAU1.3_9.4_MISR global,%,15.124,15.231,-0.107,11.657,11.567,2.838,0.97
CLDLOW_TAU9.4_MISR global,%,11.406,11.049,0.357,10.648,10.269,2.597,0.97
CLDTOT_TAU1.3_MODIS global,%,45.198,44.984,0.214,24.665,24.494,5.15,0.978
CLDTOT_TAU1.3_9.4_MODIS global,%,22.312,22.691,-0.379,10.944,11.278,3.573,0.949
CLDTOT_TAU9.4_MODIS global,%,22.886,22.293,0.593,17.904,17.439,4.17,0.973
CLDHGH_TAU1.3_MODIS global,%,30.004,29.793,0.21,21.842,21.48,4.266,0.981
CLDHGH_TAU1.3_9.4_MODIS global,%,16.596,16.789,-0.193,11.922,12.054,3.117,0.966
CLDHGH_TAU9.4_MODIS global,%,13.408,13.004,0.403,13.565,13.136,3.009,0.976
CLDTOT_CAL global,%,57.257,56.71,0.546,24.014,24.009,4.473,0.983
CLDLOW_CAL global,%,32.676,32.104,0.572,24.463,23.732,4.036,0.987
CLDMED_CAL global,%,12.834,12.921,-0.086,12.415,12.499,2.901,0.973
CLDHGH_CAL global,%,28.974,28.398,0.576,16.645,16.632,4.26,0.968
TGCLDLWP_OCN global,g/m^2,53.662,52.304,1.357,28.497,26.892,7.646,0.965
AODVIS global,dimensionless,0.186,0.185,0.0,0.208,0.201,0.026,0.992
TREFHT global,DegC,16.237,16.264,-0.027,14.459,14.327,0.615,0.999
TREFHT land,DegC,13.974,14.044,-0.07,20.536,20.313,0.963,0.999
TAUXY ocean,N/m^2,0.086,0.083,0.004,0.072,0.066,0.024,0.943
