Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.192,3.232,-0.04,2.366,2.484,0.842,0.941
SST global,degC,19.86,19.86,0.0,8.992,8.992,0.011,1.0
SOLIN global,W/m2,338.355,338.355,0.0,100.639,100.639,0.0,1.0
ALBEDO global,dimensionless,0.32,0.318,0.002,0.142,0.142,0.018,0.992
ALBEDOC global,dimensionless,0.18,0.179,0.001,0.139,0.138,0.008,0.998
RESTOM global,W/m2,3.009,1.699,1.31,71.81,70.812,4.59,0.998
FLUT global,W/m2,238.136,240.085,-1.949,33.239,33.964,5.856,0.987
FLUTC global,W/m2,262.319,263.668,-1.349,31.445,31.615,2.4,0.998
FSNTOA global,W/m2,241.01,241.65,-0.64,97.62,97.661,6.439,0.998
FSNTOAC global,W/m2,285.199,285.361,-0.162,100.81,100.663,2.396,1.0
SWCF global,W/m2,-44.189,-43.711,-0.477,24.388,24.475,6.468,0.965
LWCF global,W/m2,24.183,23.584,0.599,11.717,11.784,4.332,0.933
NETCF global,W/m2,-20.006,-20.128,0.122,18.494,18.357,4.322,0.973
ALBEDO_SRF global,dimensionless,0.153,0.153,0.001,0.2,0.199,0.012,0.998
SWCFSRF global,W/m2,-47.245,-46.774,-0.471,26.568,26.643,6.801,0.967
LWCFSRF global,W/m2,26.152,26.646,-0.494,19.106,19.5,2.642,0.991
NETCF_SRF global,W/m2,-21.093,-20.128,-0.965,25.377,25.591,5.624,0.976
FLDS global,W/m2,344.359,344.424,-0.065,66.165,65.357,4.358,0.998
FLDSC global,W/m2,317.569,317.186,0.383,79.166,78.624,3.453,0.999
FLNS global,W/m2,53.888,54.335,-0.448,19.917,20.658,3.618,0.985
FLNSC global,W/m2,80.04,80.981,-0.942,15.282,15.928,2.74,0.987
FSDS global,W/m2,188.239,189.045,-0.806,76.392,76.447,7.791,0.995
FSDSC global,W/m2,242.484,242.657,-0.174,73.039,73.085,1.396,1.0
FSNS global,W/m2,164.289,165.085,-0.796,76.896,76.96,7.047,0.996
FSNSC global,W/m2,211.534,211.859,-0.325,79.463,79.39,2.666,0.999
LHFLX global,W/m2,92.858,93.894,-1.036,56.331,56.902,10.652,0.983
SHFLX global,W/m2,15.509,15.679,-0.17,19.308,19.318,4.333,0.975
NET_FLUX_SRF global,W/m2,2.034,1.177,0.858,47.88,47.054,13.184,0.962
TMQ global,kg/m2,24.377,24.172,0.205,14.352,14.24,1.188,0.997
U-850mb global,m/s,1.132,1.036,0.096,6.723,6.588,1.175,0.985
OMEGA-850mb global,mbar/day,-0.252,-0.265,0.013,31.203,31.395,10.761,0.941
OMEGA-200mb global,mbar/day,0.185,0.175,0.01,12.594,12.934,6.457,0.872
U-200mb global,m/s,17.382,17.203,0.179,11.766,11.98,2.568,0.977
Z3-500mb global,hectometer,56.491,56.477,0.014,2.797,2.762,0.186,0.998
T-850mb global,K,280.776,280.75,0.025,10.617,10.501,0.748,0.998
T-200mb global,K,217.511,217.618,-0.107,3.378,3.031,1.014,0.956
PSL global,mbar,1011.265,1011.253,0.012,10.582,9.9,1.59,0.99
CLDTOT_TAU1.3_ISCCP global,%,47.265,47.097,0.168,23.723,23.765,4.931,0.978
CLDTOT_TAU1.3_9.4_ISCCP global,%,22.886,23.171,-0.286,10.099,10.237,3.224,0.95
CLDTOT_TAU9.4_ISCCP global,%,24.38,23.926,0.454,15.995,15.884,3.954,0.97
CLDTOT_TAU1.3_MISR global,%,47.236,47.089,0.147,23.746,23.78,4.928,0.979
CLDTOT_TAU1.3_9.4_MISR global,%,22.86,23.168,-0.308,10.114,10.245,3.223,0.95
CLDTOT_TAU9.4_MISR global,%,24.376,23.922,0.455,15.999,15.89,3.954,0.97
CLDLOW_TAU1.3_MISR global,%,26.117,26.155,-0.039,18.411,18.174,3.646,0.98
CLDLOW_TAU1.3_9.4_MISR global,%,15.164,15.448,-0.285,10.874,10.913,2.647,0.971
CLDLOW_TAU9.4_MISR global,%,10.953,10.707,0.246,8.914,8.641,2.417,0.963
CLDTOT_TAU1.3_MODIS global,%,45.132,44.978,0.154,23.941,23.966,4.898,0.979
CLDTOT_TAU1.3_9.4_MODIS global,%,22.977,23.263,-0.286,10.077,10.194,3.219,0.95
CLDTOT_TAU9.4_MODIS global,%,22.155,21.715,0.44,16.533,16.429,3.905,0.972
CLDHGH_TAU1.3_MODIS global,%,30.002,30.184,-0.182,21.173,21.3,3.92,0.983
CLDHGH_TAU1.3_9.4_MODIS global,%,16.859,17.196,-0.337,11.047,11.154,2.865,0.967
CLDHGH_TAU9.4_MODIS global,%,13.143,12.989,0.154,12.296,12.285,2.763,0.975
CLDTOT_CAL global,%,58.048,57.276,0.772,22.128,22.361,5.167,0.974
CLDLOW_CAL global,%,32.272,32.126,0.147,23.378,23.063,3.852,0.986
CLDMED_CAL global,%,13.799,13.974,-0.176,13.265,13.446,2.861,0.977
CLDHGH_CAL global,%,29.828,28.639,1.189,12.567,12.813,5.396,0.914
TGCLDLWP_OCN global,g/m^2,53.124,52.234,0.891,26.972,26.297,7.048,0.966
AODVIS global,dimensionless,0.151,0.151,0.0,0.145,0.147,0.025,0.985
TREFHT global,DegC,14.447,14.553,-0.105,14.898,14.774,0.811,0.999
TREFHT land,DegC,8.184,8.404,-0.22,20.006,19.944,1.275,0.998
TAUXY ocean,N/m^2,0.077,0.075,0.002,0.066,0.06,0.018,0.965
