Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.251,3.243,0.008,2.339,2.298,0.465,0.98
SST global,degC,20.07,20.071,-0.0,8.382,8.381,0.006,1.0
SOLIN global,W/m2,340.415,340.415,0.0,72.834,72.834,0.0,1.0
ALBEDO global,dimensionless,0.312,0.311,0.001,0.126,0.124,0.012,0.996
ALBEDOC global,dimensionless,0.17,0.169,0.001,0.12,0.118,0.005,0.999
RESTOM global,W/m2,0.544,1.715,-1.171,55.176,54.43,2.944,0.999
FLUT global,W/m2,242.005,241.142,0.862,31.343,31.777,3.029,0.996
FLUTC global,W/m2,262.949,264.326,-1.377,29.667,29.868,1.73,0.999
FSNTOA global,W/m2,242.414,242.723,-0.31,82.634,82.043,3.817,0.999
FSNTOAC global,W/m2,288.415,288.529,-0.114,82.63,82.39,1.205,1.0
SWCF global,W/m2,-46.002,-45.806,-0.196,20.908,20.431,3.791,0.983
LWCF global,W/m2,20.944,23.184,-2.239,9.552,10.342,3.205,0.977
NETCF global,W/m2,-25.057,-22.622,-2.435,14.671,13.961,3.695,0.982
ALBEDO_SRF global,dimensionless,0.144,0.143,0.001,0.172,0.17,0.009,0.999
SWCFSRF global,W/m2,-49.214,-49.049,-0.165,22.681,22.139,3.996,0.984
LWCFSRF global,W/m2,25.956,26.826,-0.871,18.16,18.532,1.664,0.997
NETCF_SRF global,W/m2,-23.258,-22.223,-1.035,19.239,19.326,3.555,0.984
FLDS global,W/m2,344.299,345.263,-0.963,62.926,62.384,2.419,0.999
FLDSC global,W/m2,317.264,317.324,-0.06,75.651,75.557,1.638,1.0
FLNS global,W/m2,54.425,53.833,0.592,18.856,19.274,2.111,0.995
FLNSC global,W/m2,80.38,80.659,-0.279,13.773,14.022,1.38,0.995
FSDS global,W/m2,188.223,188.31,-0.088,61.447,60.914,4.509,0.997
FSDSC global,W/m2,243.683,243.561,0.122,50.113,50.221,0.863,1.0
FSNS global,W/m2,165.167,165.336,-0.169,66.07,65.518,4.158,0.998
FSNSC global,W/m2,214.381,214.386,-0.005,65.145,65.006,1.394,1.0
LHFLX global,W/m2,94.181,93.916,0.265,56.596,56.019,5.803,0.995
SHFLX global,W/m2,15.305,15.108,0.197,17.829,17.305,2.512,0.99
NET_FLUX_SRF global,W/m2,1.257,2.48,-1.223,33.594,31.877,7.711,0.974
TMQ global,kg/m2,24.327,24.448,-0.122,13.468,13.49,0.605,0.999
U-850mb global,m/s,1.07,1.038,0.032,6.691,6.557,0.621,0.996
OMEGA-850mb global,mbar/day,-0.216,-0.211,-0.005,29.071,28.561,5.578,0.981
OMEGA-500mb global,mbar/day,-0.324,-0.318,-0.005,22.73,21.862,6.437,0.959
OMEGA-200mb global,mbar/day,0.174,0.179,-0.005,11.3,10.863,3.277,0.957
U-200mb global,m/s,15.845,15.794,0.05,12.0,12.082,1.37,0.994
Z3-500mb global,hectometer,56.512,56.525,-0.013,2.745,2.73,0.088,1.0
T-850mb global,K,280.898,280.892,0.006,9.9,9.882,0.359,0.999
T-200mb global,K,217.199,217.577,-0.378,3.011,2.785,0.614,0.989
PSL global,mbar,1011.23,1011.228,0.002,10.555,10.378,0.758,0.998
CLDTOT_TAU1.3_ISCCP global,%,47.683,47.771,-0.088,22.261,21.882,2.791,0.992
CLDTOT_TAU1.3_9.4_ISCCP global,%,22.492,22.865,-0.372,9.163,9.213,1.825,0.981
CLDTOT_TAU9.4_ISCCP global,%,25.191,24.907,0.284,15.453,14.912,2.451,0.988
CLDTOT_TAU1.3_MISR global,%,47.679,47.769,-0.09,22.267,21.887,2.791,0.992
CLDTOT_TAU1.3_9.4_MISR global,%,22.489,22.863,-0.374,9.166,9.215,1.825,0.981
CLDTOT_TAU9.4_MISR global,%,25.189,24.906,0.284,15.455,14.915,2.451,0.988
CLDLOW_TAU1.3_MISR global,%,26.698,26.892,-0.194,17.552,17.172,2.118,0.993
CLDLOW_TAU1.3_9.4_MISR global,%,15.209,15.584,-0.375,10.239,10.208,1.521,0.99
CLDLOW_TAU9.4_MISR global,%,11.489,11.308,0.18,8.76,8.363,1.513,0.986
CLDTOT_TAU1.3_MODIS global,%,45.625,45.722,-0.097,22.427,22.06,2.805,0.992
CLDTOT_TAU1.3_9.4_MODIS global,%,22.554,22.95,-0.395,9.059,9.121,1.836,0.981
CLDTOT_TAU9.4_MODIS global,%,23.071,22.773,0.298,15.989,15.46,2.448,0.989
CLDHGH_TAU1.3_MODIS global,%,30.997,31.209,-0.212,20.546,20.052,2.183,0.995
CLDHGH_TAU1.3_9.4_MODIS global,%,16.901,17.359,-0.458,10.353,10.333,1.644,0.988
CLDHGH_TAU9.4_MODIS global,%,14.096,13.85,0.246,12.439,11.902,1.752,0.991
CLDTOT_CAL global,%,57.649,57.528,0.121,21.1,20.771,2.712,0.992
CLDLOW_CAL global,%,33.061,33.118,-0.056,22.612,22.029,2.154,0.996
CLDMED_CAL global,%,13.971,14.001,-0.03,12.599,12.489,1.506,0.993
CLDHGH_CAL global,%,27.854,27.588,0.266,12.125,11.826,2.667,0.976
TGCLDLWP_OCN global,g/m^2,53.281,52.997,0.283,24.99,24.147,4.179,0.986
AODVIS global,dimensionless,0.155,0.155,-0.001,0.135,0.135,0.014,0.994
TREFHT global,DegC,14.607,14.682,-0.074,13.931,13.876,0.341,1.0
TREFHT land,DegC,8.888,9.068,-0.181,18.401,18.329,0.557,1.0
TAUXY ocean,N/m^2,0.077,0.075,0.002,0.058,0.057,0.01,0.987
