Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.323,3.298,0.026,2.958,2.981,0.972,0.946
SST global,degC,19.954,19.954,0.0,8.514,8.514,0.007,1.0
SOLIN global,W/m2,330.479,330.479,0.0,139.824,139.824,0.0,1.0
ALBEDO global,dimensionless,0.32,0.319,0.0,0.137,0.134,0.02,0.989
ALBEDOC global,dimensionless,0.178,0.177,0.0,0.125,0.123,0.006,0.999
RESTOM global,W/m2,-7.354,-6.576,-0.777,88.029,88.01,5.589,0.998
FLUT global,W/m2,244.594,243.686,0.908,35.17,35.769,5.424,0.989
FLUTC global,W/m2,265.775,267.12,-1.345,31.458,31.558,2.282,0.998
FSNTOA global,W/m2,237.107,236.978,0.129,111.46,111.134,7.858,0.998
FSNTOAC global,W/m2,281.898,281.942,-0.044,123.686,123.619,2.12,1.0
SWCF global,W/m2,-44.791,-44.964,0.173,31.943,31.758,7.798,0.97
LWCF global,W/m2,21.181,23.434,-2.253,12.733,14.044,4.814,0.954
NETCF global,W/m2,-23.61,-21.531,-2.08,28.414,28.39,6.228,0.979
ALBEDO_SRF global,dimensionless,0.143,0.142,0.001,0.18,0.179,0.01,0.999
SWCFSRF global,W/m2,-47.375,-47.63,0.254,34.908,34.716,8.308,0.972
LWCFSRF global,W/m2,24.494,25.498,-1.004,18.639,19.187,2.893,0.99
NETCF_SRF global,W/m2,-22.881,-22.132,-0.75,35.26,35.752,6.754,0.982
FLDS global,W/m2,351.49,352.673,-1.183,62.473,62.296,4.15,0.998
FLDSC global,W/m2,326.53,326.697,-0.167,73.54,73.9,3.303,0.999
FLNS global,W/m2,55.267,54.407,0.86,22.267,22.807,3.994,0.985
FLNSC global,W/m2,79.761,79.904,-0.143,17.587,18.097,2.808,0.988
FSDS global,W/m2,179.881,179.239,0.642,89.994,89.405,9.5,0.994
FSDSC global,W/m2,233.129,232.71,0.419,100.977,100.763,2.136,1.0
FSNS global,W/m2,160.222,159.776,0.446,81.993,81.479,8.672,0.994
FSNSC global,W/m2,207.597,207.406,0.192,93.449,93.291,2.692,1.0
LHFLX global,W/m2,96.402,95.691,0.711,61.252,60.671,10.669,0.985
SHFLX global,W/m2,16.757,16.562,0.195,21.946,21.246,4.379,0.98
NET_FLUX_SRF global,W/m2,-8.205,-6.884,-1.321,81.015,79.928,14.15,0.985
TMQ global,kg/m2,25.615,25.82,-0.205,13.686,13.874,1.201,0.996
U-850mb global,m/s,1.246,1.248,-0.001,6.885,6.766,1.3,0.982
OMEGA-850mb global,mbar/day,-0.215,-0.198,-0.018,35.761,34.614,10.655,0.955
OMEGA-500mb global,mbar/day,-0.343,-0.326,-0.017,29.544,28.205,12.606,0.906
OMEGA-200mb global,mbar/day,0.189,0.183,0.005,15.261,14.739,6.367,0.911
U-200mb global,m/s,13.539,13.507,0.033,15.752,15.827,2.615,0.986
Z3-500mb global,hectometer,56.778,56.792,-0.014,2.796,2.811,0.194,0.998
T-850mb global,K,282.48,282.475,0.005,9.874,9.929,0.668,0.998
T-200mb global,K,216.205,216.909,-0.703,5.206,4.843,1.255,0.981
PSL global,mbar,1011.053,1011.064,-0.011,10.904,10.719,1.685,0.988
CLDTOT_TAU1.3_ISCCP global,%,46.743,47.14,-0.397,24.569,24.15,6.211,0.968
CLDTOT_TAU1.3_9.4_ISCCP global,%,22.053,22.63,-0.577,11.09,11.113,3.926,0.939
CLDTOT_TAU9.4_ISCCP global,%,24.69,24.511,0.179,17.394,16.948,4.956,0.959
CLDTOT_TAU1.3_MISR global,%,46.741,47.14,-0.399,24.57,24.15,6.212,0.968
CLDTOT_TAU1.3_9.4_MISR global,%,22.051,22.63,-0.578,11.09,11.113,3.926,0.939
CLDTOT_TAU9.4_MISR global,%,24.69,24.511,0.179,17.394,16.948,4.956,0.959
CLDLOW_TAU1.3_MISR global,%,25.879,26.499,-0.62,19.206,19.071,4.099,0.978
CLDLOW_TAU1.3_9.4_MISR global,%,14.706,15.324,-0.619,11.444,11.578,2.994,0.968
CLDLOW_TAU9.4_MISR global,%,11.174,11.175,-0.001,10.532,10.289,2.827,0.963
CLDTOT_TAU1.3_MODIS global,%,44.626,45.025,-0.399,24.586,24.203,6.05,0.97
CLDTOT_TAU1.3_9.4_MODIS global,%,22.087,22.681,-0.594,10.983,11.004,3.831,0.941
CLDTOT_TAU9.4_MODIS global,%,22.539,22.343,0.195,17.782,17.365,4.895,0.962
CLDHGH_TAU1.3_MODIS global,%,29.186,29.921,-0.735,21.609,21.526,4.584,0.978
CLDHGH_TAU1.3_9.4_MODIS global,%,16.089,16.845,-0.756,11.757,11.998,3.288,0.964
CLDHGH_TAU9.4_MODIS global,%,13.097,13.076,0.021,13.522,13.215,3.323,0.969
CLDTOT_CAL global,%,56.488,56.74,-0.253,23.904,23.615,5.104,0.977
CLDLOW_CAL global,%,31.744,32.349,-0.605,23.9,23.829,4.036,0.986
CLDMED_CAL global,%,12.721,12.751,-0.03,12.378,12.218,2.918,0.972
CLDHGH_CAL global,%,28.749,28.297,0.453,16.514,16.194,5.047,0.953
TGCLDLWP_OCN global,g/m^2,52.104,52.615,-0.511,26.695,26.76,8.572,0.949
AODVIS global,dimensionless,0.173,0.18,-0.006,0.171,0.188,0.037,0.983
TREFHT global,DegC,16.166,16.222,-0.056,14.257,14.303,0.572,0.999
TREFHT land,DegC,13.786,13.912,-0.125,20.102,20.276,0.904,0.999
TAUXY ocean,N/m^2,0.083,0.081,0.002,0.065,0.063,0.018,0.964
