Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.238,3.253,-0.015,2.565,2.461,0.915,0.935
SST global,degC,19.86,19.86,0.0,8.992,8.992,0.009,1.0
SOLIN global,W/m2,338.355,338.355,0.0,100.639,100.639,0.0,1.0
ALBEDO global,dimensionless,0.32,0.318,0.002,0.143,0.14,0.019,0.991
ALBEDOC global,dimensionless,0.18,0.179,0.001,0.139,0.137,0.009,0.998
RESTOM global,W/m2,0.125,1.416,-1.291,71.288,70.374,4.903,0.998
FLUT global,W/m2,240.869,240.018,0.851,33.7,33.801,5.659,0.986
FLUTC global,W/m2,262.166,263.705,-1.539,31.613,31.634,2.795,0.997
FSNTOA global,W/m2,240.859,241.301,-0.443,97.976,96.991,6.894,0.998
FSNTOAC global,W/m2,285.002,285.269,-0.268,100.748,100.61,2.786,1.0
SWCF global,W/m2,-44.143,-43.968,-0.175,25.096,23.914,6.815,0.962
LWCF global,W/m2,21.297,23.687,-2.39,10.891,11.313,4.763,0.932
NETCF global,W/m2,-22.846,-20.281,-2.565,19.057,17.823,5.369,0.969
ALBEDO_SRF global,dimensionless,0.154,0.153,0.001,0.2,0.198,0.013,0.998
SWCFSRF global,W/m2,-47.198,-47.055,-0.144,27.301,26.022,7.153,0.965
LWCFSRF global,W/m2,25.811,26.682,-0.87,19.026,19.288,2.75,0.991
NETCF_SRF global,W/m2,-21.387,-20.373,-1.014,25.838,25.571,5.988,0.974
FLDS global,W/m2,343.062,344.491,-1.429,66.195,65.624,4.863,0.998
FLDSC global,W/m2,316.663,317.187,-0.525,79.082,78.904,4.01,0.999
FLNS global,W/m2,54.753,54.116,0.637,20.158,20.527,4.144,0.98
FLNSC global,W/m2,80.564,80.797,-0.233,15.693,15.956,2.925,0.983
FSDS global,W/m2,188.415,188.654,-0.239,76.904,75.892,8.312,0.994
FSDSC global,W/m2,242.662,242.627,0.035,73.07,73.169,2.188,1.0
FSNS global,W/m2,164.359,164.704,-0.345,77.348,76.231,7.604,0.995
FSNSC global,W/m2,211.557,211.759,-0.201,79.433,79.306,3.214,0.999
LHFLX global,W/m2,94.124,94.65,-0.527,58.719,57.16,12.349,0.978
SHFLX global,W/m2,15.642,15.443,0.199,19.892,18.883,4.916,0.969
NET_FLUX_SRF global,W/m2,-0.16,0.495,-0.655,50.224,46.209,15.493,0.952
TMQ global,kg/m2,23.989,24.241,-0.252,14.365,14.414,1.409,0.995
U-850mb global,m/s,1.081,1.032,0.049,7.012,6.79,1.424,0.979
OMEGA-850mb global,mbar/day,-0.277,-0.256,-0.02,32.748,31.176,11.452,0.937
OMEGA-500mb global,mbar/day,-0.316,-0.315,-0.001,27.328,23.866,13.402,0.871
OMEGA-200mb global,mbar/day,0.167,0.177,-0.01,13.574,12.037,6.452,0.88
U-200mb global,m/s,17.217,17.201,0.016,12.521,12.279,2.726,0.976
Z3-500mb global,hectometer,56.433,56.474,-0.04,2.81,2.791,0.206,0.997
T-850mb global,K,280.609,280.714,-0.105,10.601,10.568,0.899,0.996
T-200mb global,K,217.605,217.907,-0.302,3.341,3.021,0.952,0.965
PSL global,mbar,1011.247,1011.266,-0.019,10.62,10.122,1.811,0.986
CLDTOT_TAU1.3_ISCCP global,%,47.311,47.358,-0.047,24.041,23.25,5.3,0.975
CLDTOT_TAU1.3_9.4_ISCCP global,%,22.996,23.385,-0.389,10.47,9.99,3.572,0.941
CLDTOT_TAU9.4_ISCCP global,%,24.315,23.972,0.343,16.404,15.403,4.38,0.964
CLDTOT_TAU1.3_MISR global,%,47.298,47.347,-0.05,24.061,23.269,5.296,0.976
CLDTOT_TAU1.3_9.4_MISR global,%,22.989,23.38,-0.391,10.479,10.0,3.57,0.941
CLDTOT_TAU9.4_MISR global,%,24.308,23.967,0.341,16.413,15.411,4.379,0.964
CLDLOW_TAU1.3_MISR global,%,26.077,26.295,-0.217,18.714,17.814,4.101,0.976
CLDLOW_TAU1.3_9.4_MISR global,%,15.202,15.601,-0.399,11.215,10.737,2.98,0.965
CLDLOW_TAU9.4_MISR global,%,10.875,10.693,0.182,9.166,8.337,2.719,0.956
CLDTOT_TAU1.3_MODIS global,%,45.21,45.24,-0.029,24.288,23.46,5.307,0.976
CLDTOT_TAU1.3_9.4_MODIS global,%,23.083,23.489,-0.407,10.4,9.944,3.573,0.94
CLDTOT_TAU9.4_MODIS global,%,22.127,21.75,0.377,16.976,15.954,4.341,0.967
CLDHGH_TAU1.3_MODIS global,%,30.21,30.366,-0.156,21.928,20.86,4.315,0.981
CLDHGH_TAU1.3_9.4_MODIS global,%,16.953,17.41,-0.457,11.496,10.989,3.194,0.961
CLDHGH_TAU9.4_MODIS global,%,13.258,12.956,0.301,12.921,11.876,3.174,0.971
CLDTOT_CAL global,%,57.723,57.659,0.064,22.71,21.876,5.388,0.971
CLDLOW_CAL global,%,32.178,32.296,-0.118,23.857,22.687,4.169,0.985
CLDMED_CAL global,%,14.025,14.042,-0.017,13.511,13.328,3.017,0.975
CLDHGH_CAL global,%,29.088,28.892,0.196,13.54,12.334,5.453,0.915
TGCLDLWP_OCN global,g/m^2,52.483,52.301,0.181,27.954,25.729,8.208,0.957
AODVIS global,dimensionless,0.153,0.151,0.002,0.156,0.142,0.038,0.971
TREFHT global,DegC,14.377,14.539,-0.162,14.857,14.782,0.798,0.999
TREFHT land,DegC,7.894,8.353,-0.459,19.884,19.867,1.34,0.998
TAUXY ocean,N/m^2,0.079,0.077,0.002,0.066,0.061,0.022,0.942
