Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.202,3.2,0.001,2.838,2.736,0.779,0.962
SST global,degC,19.876,19.876,-0.0,8.569,8.569,0.007,1.0
SOLIN global,W/m2,342.28,342.28,0.0,100.045,100.045,0.0,1.0
ALBEDO global,dimensionless,0.316,0.315,0.002,0.14,0.136,0.019,0.991
ALBEDOC global,dimensionless,0.174,0.173,0.001,0.134,0.132,0.007,0.999
RESTOM global,W/m2,1.989,3.069,-1.08,73.128,72.618,4.584,0.998
FLUT global,W/m2,242.313,241.476,0.837,33.246,33.541,4.476,0.991
FLUTC global,W/m2,263.057,264.469,-1.412,30.139,30.241,2.288,0.998
FSNTOA global,W/m2,244.172,244.415,-0.243,98.213,97.461,6.062,0.998
FSNTOAC global,W/m2,289.785,289.885,-0.1,105.182,104.934,1.185,1.0
SWCF global,W/m2,-45.613,-45.47,-0.143,27.5,26.755,6.017,0.976
LWCF global,W/m2,20.744,22.993,-2.249,11.202,11.967,4.068,0.959
NETCF global,W/m2,-24.869,-22.477,-2.392,22.049,21.255,5.027,0.98
ALBEDO_SRF global,dimensionless,0.142,0.141,0.001,0.181,0.179,0.015,0.996
SWCFSRF global,W/m2,-48.986,-48.868,-0.118,30.375,29.552,6.393,0.978
LWCFSRF global,W/m2,26.435,27.234,-0.799,19.415,19.6,2.823,0.99
NETCF_SRF global,W/m2,-22.552,-21.634,-0.917,27.579,27.369,5.251,0.982
FLDS global,W/m2,344.366,345.425,-1.059,63.766,63.264,4.517,0.998
FLDSC global,W/m2,317.311,317.563,-0.252,76.662,76.472,3.359,0.999
FLNS global,W/m2,54.78,54.209,0.572,20.207,20.363,3.727,0.984
FLNSC global,W/m2,81.215,81.442,-0.227,14.9,15.178,2.415,0.987
FSDS global,W/m2,190.758,190.711,0.047,73.833,73.009,7.391,0.995
FSDSC global,W/m2,245.883,245.67,0.213,73.761,73.798,1.491,1.0
FSNS global,W/m2,167.046,167.065,-0.019,76.851,76.143,6.71,0.996
FSNSC global,W/m2,216.032,215.933,0.099,83.926,83.815,1.543,1.0
LHFLX global,W/m2,92.052,91.955,0.097,58.131,57.099,10.862,0.982
SHFLX global,W/m2,14.48,14.227,0.253,20.93,20.246,4.088,0.981
NET_FLUX_SRF global,W/m2,5.733,6.673,-0.94,51.085,50.324,13.811,0.963
TMQ global,kg/m2,24.18,24.338,-0.158,14.16,14.102,1.135,0.997
U-850mb global,m/s,1.102,1.012,0.09,7.07,6.866,1.143,0.987
OMEGA-850mb global,mbar/day,-0.154,-0.165,0.011,34.91,33.169,10.908,0.95
OMEGA-500mb global,mbar/day,-0.325,-0.322,-0.002,27.5,25.454,11.308,0.912
OMEGA-200mb global,mbar/day,0.184,0.186,-0.001,13.326,12.47,5.556,0.909
U-200mb global,m/s,16.103,16.145,-0.042,13.315,12.857,2.65,0.98
Z3-500mb global,hectometer,56.514,56.527,-0.014,2.887,2.865,0.193,0.998
T-850mb global,K,280.874,280.921,-0.047,10.26,10.162,0.721,0.998
T-200mb global,K,216.442,216.898,-0.457,4.015,3.563,1.07,0.974
PSL global,mbar,1011.161,1011.167,-0.006,11.771,11.661,1.566,0.991
CLDTOT_TAU1.3_ISCCP global,%,47.87,47.828,0.042,24.416,23.584,4.864,0.98
CLDTOT_TAU1.3_9.4_ISCCP global,%,22.474,22.667,-0.193,10.428,10.166,3.265,0.95
CLDTOT_TAU9.4_ISCCP global,%,25.396,25.161,0.235,17.055,16.149,4.386,0.967
CLDTOT_TAU1.3_MISR global,%,47.868,47.828,0.041,24.417,23.584,4.864,0.98
CLDTOT_TAU1.3_9.4_MISR global,%,22.472,22.667,-0.194,10.429,10.166,3.265,0.95
CLDTOT_TAU9.4_MISR global,%,25.396,25.161,0.235,17.055,16.149,4.386,0.967
CLDLOW_TAU1.3_MISR global,%,27.079,27.088,-0.009,19.397,18.666,3.88,0.98
CLDLOW_TAU1.3_9.4_MISR global,%,15.513,15.731,-0.219,11.388,11.119,2.746,0.971
CLDLOW_TAU9.4_MISR global,%,11.566,11.356,0.21,9.74,9.125,2.856,0.957
CLDTOT_TAU1.3_MODIS global,%,45.844,45.828,0.015,24.553,23.774,4.845,0.98
CLDTOT_TAU1.3_9.4_MODIS global,%,22.503,22.73,-0.227,10.317,10.074,3.253,0.95
CLDTOT_TAU9.4_MODIS global,%,23.341,23.098,0.242,17.507,16.646,4.35,0.969
CLDHGH_TAU1.3_MODIS global,%,31.482,31.494,-0.012,22.671,21.851,4.107,0.984
CLDHGH_TAU1.3_9.4_MODIS global,%,17.104,17.396,-0.291,11.549,11.291,2.94,0.967
CLDTOT_CAL global,%,57.376,57.098,0.278,23.303,22.653,4.828,0.978
CLDLOW_CAL global,%,33.55,33.433,0.117,24.446,23.605,3.982,0.987
CLDMED_CAL global,%,14.007,14.078,-0.071,13.593,13.212,3.001,0.975
CLDHGH_CAL global,%,27.126,26.831,0.295,14.347,13.499,4.663,0.946
TGCLDLWP_OCN global,g/m^2,52.707,52.51,0.197,26.976,25.487,7.282,0.963
AODVIS global,dimensionless,0.149,0.151,-0.002,0.12,0.122,0.026,0.977
TREFHT global,DegC,14.761,14.87,-0.109,13.929,13.856,0.67,0.999
TREFHT land,DegC,9.606,9.794,-0.189,18.654,18.644,1.042,0.998
TAUXY ocean,N/m^2,0.083,0.079,0.004,0.065,0.062,0.019,0.958
